scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S1_ideal,A,param_err_pct,observed,1,40,40,40,0,213.7044966514818,147.0982277075651,283.9568598644412,174.434418795915,270.3744613568299
S1_ideal,A,param_err_pct,observed,2,40,40,40,0,164.91353572181401,142.09919807141165,247.41447685299357,146.61585302682613,226.61242571906118
S1_ideal,A,param_err_pct,observed,3,40,40,40,0,143.34025352165588,120.3553815315466,172.69483900267036,126.91692165140452,165.67884911196865
S1_ideal,A,param_err_pct,observed,4,40,40,40,0,149.58962871684736,113.14991094435294,188.1967606160473,134.41471628283006,167.4285394964582
S1_ideal,A,param_err_pct,observed,5,40,40,40,0,121.80434869809636,103.50940012153761,170.05556539646457,106.12005067946673,141.75269724791985
S1_ideal,A,param_err_pct,observed,6,40,40,40,0,108.24637482280195,71.84218735246995,133.63519195546854,89.08523430407081,122.71811744528421
S1_ideal,A,param_err_pct,observed,7,40,40,40,0,57.40512230335856,48.66719852224729,79.7413851947988,51.00677743458909,68.450627278355
S1_ideal,A,param_err_pct,observed,8,40,40,40,0,46.92414914940156,41.94156317954122,53.82455841580707,44.70762745876178,50.34544021802821
S1_ideal,B,param_err_pct,observed,1,40,40,40,0,281.13878225703064,201.8351691422724,351.94405957858777,224.5315678463219,330.72188182318143
S1_ideal,B,param_err_pct,observed,2,40,40,40,0,180.73717253808513,140.73952839891058,239.32368731002217,151.45323823403615,215.04304796895886
S1_ideal,B,param_err_pct,observed,3,40,40,40,0,170.09370749505615,137.8741367453146,192.19726965228455,151.11727821326255,181.6657239598451
S1_ideal,B,param_err_pct,observed,4,40,40,40,0,141.49992077787377,108.98227837724264,178.07378819798015,119.57888647128954,168.58119315784506
S1_ideal,B,param_err_pct,observed,5,40,40,40,0,106.27184085166128,86.26512401200397,140.10948545079998,92.2556373934151,118.93558332289244
S1_ideal,B,param_err_pct,observed,6,40,40,40,0,59.89757065524962,43.33743205302603,89.46227797622527,50.93910128552798,70.48881459070043
S1_ideal,B,param_err_pct,observed,7,40,40,40,0,41.889390942046425,17.922949181148034,48.01067126717591,34.42006839606155,46.06372698402822
S1_ideal,B,param_err_pct,observed,8,40,40,40,0,30.512563253774204,15.951721492003422,41.052232372820235,18.96099283852486,39.76852002754647
S1_ideal,C,param_err_pct,observed,1,40,40,40,0,213.7044966514818,147.0982277075651,283.9568598644412,174.434418795915,270.6273952452694
S1_ideal,C,param_err_pct,observed,2,40,40,40,0,132.02329490282597,98.10726788238034,189.9473825898001,105.94568762949201,169.88010686819104
S1_ideal,C,param_err_pct,observed,3,40,40,40,0,86.85670205947827,63.137907126443125,134.34439419605917,81.73414176106013,100.5041675206506
S1_ideal,C,param_err_pct,observed,4,40,40,40,0,10.295549713084739,7.455158201384765,20.518370728535007,8.18607961440596,14.034889881489043
S1_ideal,C,param_err_pct,observed,5,40,40,40,0,8.253058139544144,5.3152701325953515,12.493610294141888,6.328401807734208,9.278829430491575
S1_ideal,C,param_err_pct,observed,6,40,40,40,0,5.184130947970711,4.192554117923731,7.487148236767966,4.44823015410808,6.639165293154326
S1_ideal,C,param_err_pct,observed,7,40,40,40,0,4.643905869553022,3.1770903155698136,6.768742252102289,3.832291049764369,5.8636852559363355
S1_ideal,C,param_err_pct,observed,8,40,40,40,0,4.84756771311019,3.5760691280707304,7.008473262761072,4.4537253665726695,6.263677238844078
S1_ideal,D,param_err_pct,observed,1,40,40,40,0,281.13878225703064,201.8351691422724,351.94405957858777,224.5315678463219,330.72188182318143
S1_ideal,D,param_err_pct,observed,2,40,40,40,0,127.66267106677915,74.07248230452197,199.57898159670964,87.83078050934034,166.10166124007094
S1_ideal,D,param_err_pct,observed,3,40,40,40,0,5.104506384833707,3.5653994321785953,7.746016181909993,4.258483366175225,6.98640195834394
S1_ideal,D,param_err_pct,observed,4,40,40,40,0,2.9801655958314632,2.040728362131622,4.317499279120135,2.389415701864328,3.5830198488782217
S1_ideal,D,param_err_pct,observed,5,40,40,40,0,2.6197452547068734,1.836872522319133,3.828997304962428,2.1624886894924478,2.951620415402001
S1_ideal,D,param_err_pct,observed,6,40,40,40,0,2.40803719246947,1.446531736020451,3.0083314007422537,1.687324466995399,2.67555228623187
S1_ideal,D,param_err_pct,observed,7,40,40,40,0,2.170126876228995,1.3491604048360695,3.006330217811659,1.6123382275937126,2.6140760964859733
S1_ideal,D,param_err_pct,observed,8,40,40,40,0,1.8085436081187956,1.2849183660364139,2.6659745801833887,1.3598283883896167,2.1956215261695777
S1_ideal,E,param_err_pct,observed,1,40,40,40,0,255.07741375664216,188.0402639314617,371.3509309358866,215.23153918482276,317.59312806008546
S1_ideal,E,param_err_pct,observed,2,40,40,40,0,129.89391559119736,64.44133988688976,176.55065212565637,97.39424238881848,159.6021288350463
S1_ideal,E,param_err_pct,observed,3,40,40,40,0,4.7063154241867355,2.7049754309542484,6.764755696005381,3.5586999053869506,6.290090923682856
S1_ideal,E,param_err_pct,observed,4,40,40,40,0,3.145084229351347,1.8728809854301143,4.47469685663302,1.9446554887145306,3.8532953087689354
S1_ideal,E,param_err_pct,observed,5,40,40,40,0,2.34503187156333,1.583805605634231,3.7206848586861963,1.964703190960071,3.286504129996304
S1_ideal,E,param_err_pct,observed,6,40,40,40,0,1.5488749521915146,1.2289901153836214,3.1214587060191032,1.3712283088076371,2.274697377676671
S1_ideal,E,param_err_pct,observed,7,40,40,40,0,1.417176331420622,1.0095655823594119,2.6388919667005126,1.169637514979338,2.1765332906504287
S1_ideal,E,param_err_pct,observed,8,40,40,40,0,1.2334038813944348,0.8513112265289335,2.062275706675609,1.0121827306601938,1.7956975383774054
S1_ideal,F,param_err_pct,observed,1,40,40,40,0,54.28410461827532,48.15090151476206,76.95876100209746,50.08068841778042,62.188673096175314
S1_ideal,F,param_err_pct,observed,2,40,40,40,0,22.753568285995417,14.723346599712146,28.691515974610194,18.540964802464764,24.33573607166578
S1_ideal,F,param_err_pct,observed,3,40,40,40,0,4.596989970167242,2.6640754903342945,7.023246996193206,3.1899806302500666,5.999904670379008
S1_ideal,F,param_err_pct,observed,4,40,40,40,0,2.5149844510720776,1.6193973742669565,3.369268138243825,1.8019407397101506,3.0574674612430575
S1_ideal,F,param_err_pct,observed,5,40,40,40,0,2.049309904000196,1.6578384804973978,3.2427568062338654,1.8080780439624244,2.548493237505045
S1_ideal,F,param_err_pct,observed,6,40,40,40,0,2.069668509828293,1.6017208348311163,3.1090324128771663,1.7025611887332204,2.4860714036163523
S1_ideal,F,param_err_pct,observed,7,40,40,40,0,1.7983192350992327,1.0625290829861522,2.3474943985757504,1.3761530197552108,2.117283499701428
S1_ideal,F,param_err_pct,observed,8,40,40,40,0,1.5722341971630471,1.0216941469188612,2.20023709013627,1.0943069594385624,1.9470267865552504
S1_ideal,A,blind_rmse_M,observed,1,40,40,40,0,0.10886653764920026,0.10134379191515039,0.11775726069181983,0.10335854592351965,0.11306521788772789
S1_ideal,A,blind_rmse_M,observed,2,40,40,40,0,0.08015312429161874,0.05757834196072504,0.1094966976025071,0.06010792113338321,0.09817173546255262
S1_ideal,A,blind_rmse_M,observed,3,40,40,40,0,0.061874278214438166,0.04408554290702062,0.07379591839905969,0.05368046375454521,0.06817691333066038
S1_ideal,A,blind_rmse_M,observed,4,40,40,40,0,0.04225909187677106,0.03765405347954706,0.05194535163191955,0.04150692756026427,0.04584367138772053
S1_ideal,A,blind_rmse_M,observed,5,40,40,40,0,0.03768195359802666,0.018718552542332713,0.041421267443438735,0.022258238013135083,0.03951292037539646
S1_ideal,A,blind_rmse_M,observed,6,40,40,40,0,0.01809384351333001,0.016381145710013523,0.03733277044904409,0.017295030518088225,0.019417155448259463
S1_ideal,A,blind_rmse_M,observed,7,40,40,40,0,0.01175582400832771,0.004853984487936525,0.016169324702093785,0.005295242097814961,0.014352085092972429
S1_ideal,A,blind_rmse_M,observed,8,40,40,40,0,0.004033819480756718,0.0032370272407781643,0.005625360735583964,0.003659754528915161,0.004831634885442164
S1_ideal,B,blind_rmse_M,observed,1,40,40,40,0,0.12796479610338757,0.10970878902843863,0.15610207946903726,0.11768600768483486,0.13690698213076063
S1_ideal,B,blind_rmse_M,observed,2,40,40,40,0,0.06544082518514832,0.051663886253725116,0.0881031247617986,0.057234270035914615,0.07623050452639868
S1_ideal,B,blind_rmse_M,observed,3,40,40,40,0,0.05198407532864148,0.04035230650484817,0.07617487988039956,0.04493508865008314,0.06433349371076263
S1_ideal,B,blind_rmse_M,observed,4,40,40,40,0,0.03203907409161651,0.02042247019271959,0.043336150973570554,0.026439142993545134,0.041888589676625135
S1_ideal,B,blind_rmse_M,observed,5,40,40,40,0,0.020969357776773556,0.01609584300093534,0.038845854542204086,0.017448772040723367,0.03485679958200413
S1_ideal,B,blind_rmse_M,observed,6,40,40,40,0,0.015861089153794996,0.006454197090204716,0.01957354272074437,0.008796512792701688,0.018732483906701597
S1_ideal,B,blind_rmse_M,observed,7,40,40,40,0,0.004851919754511831,0.0023940397052679228,0.007189282423433446,0.002522532889406233,0.006500733877041619
S1_ideal,B,blind_rmse_M,observed,8,40,40,40,0,0.0013804687561989847,0.0009578483665761616,0.0026569704635621126,0.0011149174096942468,0.0020173899748973235
S1_ideal,C,blind_rmse_M,observed,1,40,40,40,0,0.10886653764920026,0.10134379191515039,0.11775726069181983,0.10335854592351965,0.11306521788772789
S1_ideal,C,blind_rmse_M,observed,2,40,40,40,0,0.04332352223324103,0.034107628231866534,0.07326121151608439,0.040280998862101,0.06335338884512665
S1_ideal,C,blind_rmse_M,observed,3,40,40,40,0,0.017670794089991643,0.011514103261414579,0.026504858031639354,0.013022303822833259,0.020609405846152395
S1_ideal,C,blind_rmse_M,observed,4,40,40,40,0,0.003963789656519926,0.0023257139925894127,0.008800053253796514,0.003046673471672521,0.007506699592761611
S1_ideal,C,blind_rmse_M,observed,5,40,40,40,0,0.002022044890655426,0.0015668245042938928,0.002923986830753167,0.0017835528560292428,0.0024414445702978065
S1_ideal,C,blind_rmse_M,observed,6,40,40,40,0,0.0016387714437670635,0.0013802305456337488,0.0019793472767284997,0.0015269728210765975,0.0018367100654153674
S1_ideal,C,blind_rmse_M,observed,7,40,40,40,0,0.0015230953946521945,0.0010805119826578068,0.0018031503502972338,0.0013168657023568133,0.001758227110293704
S1_ideal,C,blind_rmse_M,observed,8,40,40,40,0,0.0014154083496271419,0.0010006724210665295,0.0016323843066844354,0.0011387206454139482,0.0015358954537738933
S1_ideal,D,blind_rmse_M,observed,1,40,40,40,0,0.12796479610338757,0.10970878902843863,0.15610207946903726,0.11768600768483486,0.13684668643588746
S1_ideal,D,blind_rmse_M,observed,2,40,40,40,0,0.022418247646605854,0.01663653706724202,0.02767901530957314,0.01878777571563688,0.02455830766294439
S1_ideal,D,blind_rmse_M,observed,3,40,40,40,0,0.0013755249727025187,0.0009144822962557884,0.0021017591539420765,0.001189698969463597,0.0018337844453085324
S1_ideal,D,blind_rmse_M,observed,4,40,40,40,0,0.0007384982966112776,0.0006024156693046212,0.0009772111045737392,0.0006670370761366095,0.0008934141772832938
S1_ideal,D,blind_rmse_M,observed,5,40,40,40,0,0.0006039225051856332,0.00048356616308204645,0.0007616769657310219,0.0005430453604749928,0.0006676073738404329
S1_ideal,D,blind_rmse_M,observed,6,40,40,40,0,0.0005598601377409353,0.00037251575900243904,0.0007204144625428612,0.00041763431253212605,0.0006303268062377778
S1_ideal,D,blind_rmse_M,observed,7,40,40,40,0,0.0005367933749017219,0.0003365852887037514,0.0006483458041688876,0.0004093453981463919,0.0006082070826232508
S1_ideal,D,blind_rmse_M,observed,8,40,40,40,0,0.00044855004840303725,0.0003466872915856643,0.0005995569211960261,0.00037093640877950773,0.0005383192927906574
S1_ideal,E,blind_rmse_M,observed,1,40,40,40,0,0.1262298115227974,0.1062336011272031,0.14661240500910205,0.11121969334131976,0.1338529409938685
S1_ideal,E,blind_rmse_M,observed,2,40,40,40,0,0.023888816114921774,0.015301729380550248,0.030170154296603142,0.019540227864909845,0.027191751848809956
S1_ideal,E,blind_rmse_M,observed,3,40,40,40,0,0.0011122174811053153,0.0007967992331551358,0.001588190245201997,0.0009172539794159088,0.001351798578853849
S1_ideal,E,blind_rmse_M,observed,4,40,40,40,0,0.0007764704640020178,0.0005567438400300125,0.0011907429987446478,0.0006686788194033298,0.0010250072232025052
S1_ideal,E,blind_rmse_M,observed,5,40,40,40,0,0.0005891216088238572,0.00042840664049488504,0.0008113486250285375,0.0004708695664214868,0.0006849192807532527
S1_ideal,E,blind_rmse_M,observed,6,40,40,40,0,0.0004583389494817973,0.00035225176498261397,0.0006426317451574198,0.0004116276920901437,0.0005569404148194534
S1_ideal,E,blind_rmse_M,observed,7,40,40,40,0,0.000431413069542448,0.00036077637652708944,0.0005711176261462287,0.00039837540426882406,0.000510874920666863
S1_ideal,E,blind_rmse_M,observed,8,40,40,40,0,0.00040818771302083916,0.0003464063202838936,0.0004944243987735253,0.00035919024590715673,0.00044228642413969555
S1_ideal,F,blind_rmse_M,observed,1,40,40,40,0,0.10007674873112116,0.0964869922324813,0.11225228842035415,0.09912834995606876,0.10406057402754836
S1_ideal,F,blind_rmse_M,observed,2,40,40,40,0,0.0038735344602734475,0.0031429049167466987,0.007897020389473852,0.003365374558859292,0.004974835185728823
S1_ideal,F,blind_rmse_M,observed,3,40,40,40,0,0.001070806406787719,0.0008085707345477254,0.0013065202689988423,0.0009150983577582972,0.0011846678383732653
S1_ideal,F,blind_rmse_M,observed,4,40,40,40,0,0.0006965678476485971,0.00047608907854633747,0.0009041094158994338,0.0005849816191303769,0.0008588899468598511
S1_ideal,F,blind_rmse_M,observed,5,40,40,40,0,0.0005851122688302475,0.00043546592219613907,0.000713197501352468,0.0004995089035047211,0.000656909272936407
S1_ideal,F,blind_rmse_M,observed,6,40,40,40,0,0.0005081061782966172,0.0003502436916434312,0.000618004315238232,0.0004396712198311058,0.0005631703131912056
S1_ideal,F,blind_rmse_M,observed,7,40,40,40,0,0.00048023957070287475,0.0003472557675754848,0.0005907838037445442,0.0003662010851711554,0.0005390369046775524
S1_ideal,F,blind_rmse_M,observed,8,40,40,40,0,0.000407210538911358,0.00031233657767280453,0.0005458925343119907,0.0003365180773404579,0.00047785451461282983
S1_ideal,A,max_rel_ci_pct,observed,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,A,max_rel_ci_pct,observed,2,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,A,max_rel_ci_pct,observed,3,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,A,max_rel_ci_pct,observed,4,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,A,max_rel_ci_pct,observed,5,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,A,max_rel_ci_pct,observed,6,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,A,max_rel_ci_pct,observed,7,40,40,40,0,10000.0,5626.425021416873,10000.0,10000.0,10000.0
S1_ideal,A,max_rel_ci_pct,observed,8,40,40,40,0,10000.0,681.5937595404395,10000.0,1658.9232506798207,10000.0
S1_ideal,B,max_rel_ci_pct,observed,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,B,max_rel_ci_pct,observed,2,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,B,max_rel_ci_pct,observed,3,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,B,max_rel_ci_pct,observed,4,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,B,max_rel_ci_pct,observed,5,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S1_ideal,B,max_rel_ci_pct,observed,6,40,40,40,0,10000.0,9698.29873529069,10000.0,10000.0,10000.0
