scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S2_nmr,B,param_err_pct,locf,1,40,40,40,0,344.40372718322106,266.37515680389345,382.8884893419174,293.62833853583913,369.8842568734708
S2_nmr,B,param_err_pct,locf,2,40,40,40,0,230.3481140326823,199.42519943108067,265.5142802753592,209.4715701790464,249.03201723334627
S2_nmr,B,param_err_pct,locf,3,40,40,40,0,184.22196864048948,161.20603583308127,203.67097459209998,169.99986390146512,198.61017904235973
S2_nmr,B,param_err_pct,locf,4,40,40,40,0,172.5239392759358,161.06699512692137,186.80607209241583,165.65310732322178,182.15677978509933
S2_nmr,B,param_err_pct,locf,5,40,40,40,0,147.40956782730518,120.22402186235263,181.4359347841514,132.92294841041863,170.72769781158792
S2_nmr,B,param_err_pct,locf,6,40,40,40,0,105.34316830587791,86.37795263354377,123.02290303927424,91.79048324782147,113.40293520726857
S2_nmr,B,param_err_pct,locf,7,40,40,40,0,61.38200020709766,51.6237900102202,69.93343412255862,55.22152808327727,67.52100890785782
S2_nmr,B,param_err_pct,locf,8,40,40,40,0,50.17008876463652,33.44933630092693,56.856569771915886,47.40360271656432,53.43616841485399
S2_nmr,D,param_err_pct,locf,1,40,40,40,0,344.40372718322106,266.37515680389345,382.8884893419174,293.62833853583913,369.8842568734708
S2_nmr,D,param_err_pct,locf,2,40,40,40,0,193.75137947374265,141.88582905089666,261.3672890521253,164.69829568420363,243.23506165772505
S2_nmr,D,param_err_pct,locf,3,40,40,40,0,24.324270160988014,13.233532567834743,42.76482932745526,18.861584651211793,39.30684567118483
S2_nmr,D,param_err_pct,locf,4,40,40,40,0,21.607877644909202,11.297679106449621,39.53064633193952,14.243161865990617,30.634626575809488
S2_nmr,D,param_err_pct,locf,5,40,40,40,0,17.495896876364235,10.212937334945547,39.386286968585054,12.484807868020663,24.20648727598227
S2_nmr,D,param_err_pct,locf,6,40,40,40,0,16.83536543200629,9.317473099996509,30.022886227413103,12.669157626942429,24.181827393610078
S2_nmr,D,param_err_pct,locf,7,40,40,40,0,17.848937150730816,8.644082938877613,35.1243519720466,11.727463824598727,27.486620902063397
S2_nmr,D,param_err_pct,locf,8,40,40,40,0,14.676349744236628,7.668132909369618,25.732905082255474,10.090848237989736,21.139364292670095
S2_nmr,F,param_err_pct,locf,1,40,40,40,0,76.79468896407845,55.56761046132882,92.35524048158217,67.09302402796175,86.0685978968067
S2_nmr,F,param_err_pct,locf,2,40,40,40,0,45.78464316949096,28.690408658163136,72.052350512834,35.277421044850165,58.54918951445801
S2_nmr,F,param_err_pct,locf,3,40,40,40,0,13.964013401148446,7.950987589088393,26.04936257252508,9.344108466046999,20.146346091506793
S2_nmr,F,param_err_pct,locf,4,40,40,40,0,12.396506645937366,6.171977383850202,17.532444706474287,7.7961606026283325,14.56746289247889
S2_nmr,F,param_err_pct,locf,5,40,39,40,1,9.689916395947307,5.803712311210541,19.52653164479409,6.744059752393616,15.057160587494977
S2_nmr,F,param_err_pct,locf,6,40,38,40,2,10.396976646379752,5.556639705438421,20.07306206600307,7.041711685881092,15.323667915098415
S2_nmr,F,param_err_pct,locf,7,40,37,40,3,10.46112824266655,5.479154352330761,20.53945783866847,7.242919683565374,15.00787322124727
S2_nmr,F,param_err_pct,locf,8,40,37,40,3,9.172687562913762,5.879700873908295,19.734832778027055,7.264442756735445,14.25320111000087
S2_nmr,B,blind_rmse_M,locf,1,40,40,40,0,0.1445001186132081,0.12774567338918671,0.15419556662502254,0.13527342097239398,0.14957970253604108
S2_nmr,B,blind_rmse_M,locf,2,40,40,40,0,0.05579400468908118,0.05043472468917136,0.06623960133930475,0.051225518394348815,0.06127212529531609
S2_nmr,B,blind_rmse_M,locf,3,40,40,40,0,0.050113747395704095,0.04597536896030213,0.05465685108463414,0.046896651562979,0.05240235368410341
S2_nmr,B,blind_rmse_M,locf,4,40,40,40,0,0.05178279074437343,0.04839630964980758,0.05432679765895032,0.05034809646294385,0.05378030516241477
S2_nmr,B,blind_rmse_M,locf,5,40,40,40,0,0.04199614882281805,0.026941160312663213,0.04630144825930588,0.039795235992371225,0.043837178476971994
S2_nmr,B,blind_rmse_M,locf,6,40,40,40,0,0.022077092523352344,0.018483130158195565,0.02781524437433033,0.02026298364534893,0.024719710923246152
S2_nmr,B,blind_rmse_M,locf,7,40,40,40,0,0.011426857709201224,0.008147924907139673,0.013219219917146599,0.010019767230241554,0.01229162451831712
S2_nmr,B,blind_rmse_M,locf,8,40,40,40,0,0.009080189807701412,0.006576855612043079,0.011061155924468387,0.008143587025566897,0.009929577200649669
S2_nmr,D,blind_rmse_M,locf,1,40,40,40,0,0.1445001186132081,0.12774567338918671,0.15419556662502254,0.13527342097239398,0.15049757018582458
S2_nmr,D,blind_rmse_M,locf,2,40,40,40,0,0.030496565485110996,0.025556180835538025,0.04744077252767125,0.02715453870233602,0.0456541061640676
S2_nmr,D,blind_rmse_M,locf,3,40,40,40,0,0.004578937412058538,0.0033586980053206946,0.006507576221925794,0.00385168228711104,0.005445266220475937
S2_nmr,D,blind_rmse_M,locf,4,40,40,40,0,0.0034228433400307124,0.002485829143707855,0.005280083106045588,0.002978580250139716,0.004085457431965532
S2_nmr,D,blind_rmse_M,locf,5,40,40,40,0,0.0035184177350613775,0.002307774686605644,0.0048060745486368205,0.002851345168868407,0.004316442203045589
S2_nmr,D,blind_rmse_M,locf,6,40,40,40,0,0.0034342923153226706,0.002261923472889827,0.004464405039878966,0.002899001916529061,0.004154724592903784
S2_nmr,D,blind_rmse_M,locf,7,40,40,40,0,0.003685405897010624,0.0022359876160589877,0.004770761805274713,0.003053201022845575,0.004092831340474201
S2_nmr,D,blind_rmse_M,locf,8,40,40,40,0,0.003388665683971426,0.0021429622616318915,0.004336521336035935,0.0023813879103536098,0.0039016075449089197
S2_nmr,F,blind_rmse_M,locf,1,40,40,40,0,0.09581450699004482,0.08818846844820825,0.10174341692886563,0.09181909818392461,0.09996849424052569
S2_nmr,F,blind_rmse_M,locf,2,40,40,40,0,0.013322832695101705,0.011884212728611386,0.01632803913126469,0.01230190795423844,0.015529802343690943
S2_nmr,F,blind_rmse_M,locf,3,40,40,40,0,0.0014414465445168208,0.0009499573113619983,0.0018436167072161437,0.0011687568522195254,0.0015488482370924657
S2_nmr,F,blind_rmse_M,locf,4,40,40,40,0,0.0009569529495481493,0.0008200259639895817,0.0012785187568275938,0.0008526435820937734,0.0011594949711866674
S2_nmr,F,blind_rmse_M,locf,5,40,39,40,1,0.0009259340633886029,0.0007400091672528008,0.0011839193071083377,0.0008396085563781722,0.001092358929640983
S2_nmr,F,blind_rmse_M,locf,6,40,38,40,2,0.0009000122333210341,0.0007136448538904139,0.0012104093109114953,0.0007809790421957142,0.0010670626143410762
S2_nmr,F,blind_rmse_M,locf,7,40,37,40,3,0.0008693420061470568,0.0006946934573673297,0.0012048157079958446,0.0008009931529009591,0.001114558769615812
S2_nmr,F,blind_rmse_M,locf,8,40,37,40,3,0.0008202638480548823,0.0006822830577277545,0.0012007434065793756,0.0007606271947562299,0.0011097260113038347
