scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S2_nmr,B,param_err_pct,observed,1,40,40,40,0,344.40372718322106,266.37515680389345,382.8884893419174,293.62833853583913,371.26052278312926
S2_nmr,B,param_err_pct,observed,2,40,40,40,0,230.3481140326823,199.42519943108067,265.5142802753592,209.4715701790464,249.03201723334627
S2_nmr,B,param_err_pct,observed,3,40,40,40,0,184.22196864048948,161.20603583308127,203.67097459209998,169.99986390146512,198.61017904235973
S2_nmr,B,param_err_pct,observed,4,40,40,40,0,172.5239392759358,161.06699512692137,186.80607209241583,166.0036729144009,182.49304033681213
S2_nmr,B,param_err_pct,observed,5,40,40,40,0,147.40956782730518,120.22402186235263,181.4359347841514,132.92294841041863,170.31779001323935
S2_nmr,B,param_err_pct,observed,6,40,40,40,0,105.34316830587791,86.37795263354377,123.02290303927424,91.77138996591592,114.90076784506984
S2_nmr,B,param_err_pct,observed,7,40,40,40,0,61.38200020709766,51.6237900102202,69.93343412255862,55.06208932699839,67.52100890785782
S2_nmr,B,param_err_pct,observed,8,40,40,40,0,50.17008876463652,33.44933630092693,56.856569771915886,46.888017598598026,53.43070916695356
S2_nmr,D,param_err_pct,observed,1,40,40,40,0,344.40372718322106,266.37515680389345,382.8884893419174,293.62833853583913,369.8842568734708
S2_nmr,D,param_err_pct,observed,2,40,40,40,0,193.75137947374265,141.88582905089666,261.3672890521253,164.08001657085177,243.23506165772505
S2_nmr,D,param_err_pct,observed,3,40,40,40,0,24.324270160988014,13.233532567834743,42.76482932745526,19.663017097734468,39.30684567118483
S2_nmr,D,param_err_pct,observed,4,40,40,40,0,21.607877644909202,11.297679106449621,39.53064633193952,14.243161865990617,30.634626575809488
S2_nmr,D,param_err_pct,observed,5,40,40,40,0,17.495896876364235,10.212937334945547,39.386286968585054,12.484807868020663,25.074169673073133
S2_nmr,D,param_err_pct,observed,6,40,40,40,0,16.83536543200629,9.317473099996509,30.022886227413103,13.10538963057729,24.182190739969368
S2_nmr,D,param_err_pct,observed,7,40,40,40,0,17.848937150730816,8.644082938877613,35.1243519720466,12.060302572400028,25.035252907905402
S2_nmr,D,param_err_pct,observed,8,40,40,40,0,14.676349744236628,7.668132909369618,25.732905082255474,10.326868297212998,21.139364292670095
S2_nmr,F,param_err_pct,observed,1,40,40,40,0,76.79468896407845,55.56761046132882,92.35524048158217,66.4869133992088,86.0685978968067
S2_nmr,F,param_err_pct,observed,2,40,40,40,0,45.78464316949096,28.690408658163136,72.052350512834,35.277421044850165,58.06081957207998
S2_nmr,F,param_err_pct,observed,3,40,40,40,0,13.964013401148446,7.950987589088393,26.04936257252508,9.262492858149962,20.146346091506793
S2_nmr,F,param_err_pct,observed,4,40,40,40,0,12.396506645937366,6.171977383850202,17.532444706474287,7.836446079203164,14.56746289247889
S2_nmr,F,param_err_pct,observed,5,40,39,39,1,9.633170157109138,5.488888214302401,19.76453921213538,6.689856543586314,15.326840928799989
S2_nmr,F,param_err_pct,observed,6,40,38,38,2,10.396976646379752,5.828130897742162,20.753938824324397,7.086171004986053,15.72998243929642
S2_nmr,F,param_err_pct,observed,7,40,37,37,3,10.401760128343662,5.481567190188796,23.252199780126205,7.3137851078164395,17.46966151313316
S2_nmr,F,param_err_pct,observed,8,40,37,37,3,9.04030518510055,6.0023675803162035,20.441582248999968,7.065925760988301,15.283791696970939
S2_nmr,B,blind_rmse_M,observed,1,40,40,40,0,0.1445001186132081,0.12774567338918671,0.15419556662502254,0.13527342097239398,0.14974207756232893
S2_nmr,B,blind_rmse_M,observed,2,40,40,40,0,0.05579400468908118,0.05043472468917136,0.06623960133930475,0.051225518394348815,0.061385079796202974
S2_nmr,B,blind_rmse_M,observed,3,40,40,40,0,0.050113747395704095,0.04597536896030213,0.05465685108463414,0.04674088075896004,0.05240235368410341
S2_nmr,B,blind_rmse_M,observed,4,40,40,40,0,0.05178279074437343,0.04839630964980758,0.05432679765895032,0.05034809646294385,0.05384231010327749
S2_nmr,B,blind_rmse_M,observed,5,40,40,40,0,0.04199614882281805,0.026941160312663213,0.04630144825930588,0.039795235992371225,0.04365218442734807
S2_nmr,B,blind_rmse_M,observed,6,40,40,40,0,0.022077092523352344,0.018483130158195565,0.02781524437433033,0.020394953515514236,0.024719710923246152
S2_nmr,B,blind_rmse_M,observed,7,40,40,40,0,0.011426857709201224,0.008147924907139673,0.013219219917146599,0.010152389177728174,0.01229162451831712
