scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S3_transport,D,param_err_pct,locf,1,40,40,40,0,345.4732246813951,271.1365156965879,384.69848216091196,306.82539864720695,370.6935906170537
S3_transport,D,param_err_pct,locf,2,40,40,40,0,222.66793964455007,166.37081315026717,250.60859053877653,186.08118101629287,241.78408877936454
S3_transport,D,param_err_pct,locf,3,40,40,40,0,41.50015767861285,16.405450036540948,43.69505235108018,26.04551683701071,42.7852353118926
S3_transport,D,param_err_pct,locf,4,40,40,40,0,20.777780945725087,9.357847665763042,40.05381125718294,14.684251470039044,39.606014891310565
S3_transport,D,param_err_pct,locf,5,40,40,40,0,17.434633836898783,6.910420917758503,39.009255636647595,9.568775297201771,34.01516562963577
S3_transport,D,param_err_pct,locf,6,40,40,40,0,15.08577602839778,7.244115351957047,37.610775993293565,9.558342917056862,31.494329402077256
S3_transport,D,param_err_pct,locf,7,40,40,40,0,14.881459617676008,7.5513236863860635,38.92818923604946,8.909911518174884,25.266597114716305
S3_transport,D,param_err_pct,locf,8,40,40,40,0,16.355690451941342,6.592557419998046,26.8239610824166,8.543329387750687,21.321346968266575
S3_transport,F,param_err_pct,locf,1,40,40,40,0,73.51389228864838,55.69410662463427,88.1783756486935,62.371262777855435,81.94071270140981
S3_transport,F,param_err_pct,locf,2,40,40,40,0,90.587309117367,43.108417788632146,134.36044606931438,63.05299939729181,120.33577823780593
S3_transport,F,param_err_pct,locf,3,40,40,40,0,10.272134862513782,6.085570141354568,20.260052001835422,7.063025950468072,15.824430382238974
S3_transport,F,param_err_pct,locf,4,40,40,40,0,9.306308085188386,4.3271571748173425,13.909396145654561,6.06257700049706,12.080648412264727
S3_transport,F,param_err_pct,locf,5,40,40,40,0,7.037579585276388,4.977359214713633,12.080842383805878,5.5734277640845935,10.092338026803926
S3_transport,F,param_err_pct,locf,6,40,38,40,2,6.62844578531967,2.859062690391889,11.44592432663994,4.698532363042784,10.01215106314778
S3_transport,F,param_err_pct,locf,7,40,38,40,2,6.801641539279468,3.6618448663896963,11.468956630320603,5.841732048352721,9.578505964982256
S3_transport,F,param_err_pct,locf,8,40,38,40,2,6.697661551534351,3.3851666398994453,11.739706604763661,5.416667827942484,11.22119870022037
S3_transport,F-uncorr,param_err_pct,locf,1,40,40,40,0,76.55357119042816,55.98321428983692,90.71954072324169,65.76988730216092,87.00051242570461
S3_transport,F-uncorr,param_err_pct,locf,2,40,40,40,0,37.62941555964754,26.7007689452052,71.76715211942117,29.356549783355657,57.66347566419985
S3_transport,F-uncorr,param_err_pct,locf,3,40,40,40,0,11.556303333781138,6.51223702936009,22.618117905603548,8.223954175264215,15.679576467017597
S3_transport,F-uncorr,param_err_pct,locf,4,40,40,40,0,8.59225422346397,4.606623595215198,13.632204786474544,5.337219396070226,12.226925814201328
S3_transport,F-uncorr,param_err_pct,locf,5,40,39,40,1,7.405497925891858,4.627920076313402,14.515198797317169,5.574711990529913,12.8001725713893
S3_transport,F-uncorr,param_err_pct,locf,6,40,38,40,2,6.798050095890851,4.0842701794994385,13.898123381688233,5.117208431146003,11.45310012481049
S3_transport,F-uncorr,param_err_pct,locf,7,40,38,40,2,6.676442668909177,3.89858837565758,13.338693627223247,5.356751304477092,11.91222450217414
S3_transport,F-uncorr,param_err_pct,locf,8,40,38,40,2,9.159207518865465,3.810270359249579,13.652734267240174,4.49886120373818,11.56478114055246
S3_transport,D,blind_rmse_M,locf,1,40,40,40,0,0.13657029516335092,0.11429796008730098,0.16329003177632162,0.12191147123484514,0.15313746201589662
S3_transport,D,blind_rmse_M,locf,2,40,40,40,0,0.034377231226094346,0.02441791147689193,0.04716351675710617,0.027693935201924577,0.04667159426756323
S3_transport,D,blind_rmse_M,locf,3,40,40,40,0,0.005812883801029255,0.004201023091967963,0.007030613709668655,0.005111604138033098,0.006448338813067001
S3_transport,D,blind_rmse_M,locf,4,40,40,40,0,0.004517770386927349,0.003412625478485005,0.005134191434352949,0.0039904265096394245,0.004893571177138071
S3_transport,D,blind_rmse_M,locf,5,40,40,40,0,0.004142822710550076,0.0028341453112077524,0.005603567480028962,0.0034546816659460538,0.004616670355623281
S3_transport,D,blind_rmse_M,locf,6,40,40,40,0,0.00408336949973335,0.0029013237504406145,0.005346268142873418,0.003276652094131746,0.004659305189353047
S3_transport,D,blind_rmse_M,locf,7,40,40,40,0,0.0038645235672662153,0.0027442557156792916,0.005224883390743064,0.0033522103580714215,0.004559054486207057
S3_transport,D,blind_rmse_M,locf,8,40,40,40,0,0.003944327222611458,0.002711707318196868,0.004910086308477777,0.003141277718544419,0.004681806274811864
S3_transport,F,blind_rmse_M,locf,1,40,40,40,0,0.09848647887653424,0.08999839716992915,0.10296616480809742,0.0929770268509111,0.10188731087729805
S3_transport,F,blind_rmse_M,locf,2,40,40,40,0,0.02053251834278911,0.016235366218787014,0.024051103059883908,0.01690780019406888,0.02302776023762933
S3_transport,F,blind_rmse_M,locf,3,40,40,40,0,0.00216765983425726,0.0018072233126757227,0.0031767695302655687,0.0018831363156071091,0.0024944764660955452
S3_transport,F,blind_rmse_M,locf,4,40,40,40,0,0.0015832712146504474,0.0012950849037368993,0.001991047644737709,0.0013866505943116601,0.0018907323880419235
S3_transport,F,blind_rmse_M,locf,5,40,40,40,0,0.001304496869626662,0.0009089479155867935,0.0017291608573286872,0.0010684978759897428,0.0016054326955080279
S3_transport,F,blind_rmse_M,locf,6,40,38,40,2,0.001200547268146168,0.0008932392174335806,0.0016433159650648772,0.0009936092114419465,0.0014320373877410798
S3_transport,F,blind_rmse_M,locf,7,40,38,40,2,0.0010274993126315802,0.0007827996793792234,0.0015860157685287913,0.0009325280383501701,0.0014255306455716616
S3_transport,F,blind_rmse_M,locf,8,40,38,40,2,0.0010024426282302774,0.000729902481754776,0.0013058784093093658,0.0008125063959021135,0.0012187995967287862
S3_transport,F-uncorr,blind_rmse_M,locf,1,40,40,40,0,0.09684950945838014,0.0892091034137307,0.10294339473536106,0.0930752496510577,0.10122147550935356
S3_transport,F-uncorr,blind_rmse_M,locf,2,40,40,40,0,0.014227892630348762,0.01229469985436061,0.016747021810987105,0.012592647357165008,0.015722402618979267
S3_transport,F-uncorr,blind_rmse_M,locf,3,40,40,40,0,0.0018202847606551414,0.0013391930384813728,0.0022673198772593457,0.0015754967549671053,0.0020156832897377146
S3_transport,F-uncorr,blind_rmse_M,locf,4,40,40,40,0,0.0013146550881312758,0.001130425501447161,0.001666308710922149,0.0012143140287730536,0.0014839940782421608
S3_transport,F-uncorr,blind_rmse_M,locf,5,40,39,40,1,0.0011748156674446686,0.0008691270508165898,0.0015193814850830974,0.0009501029828970351,0.001329749127563515
S3_transport,F-uncorr,blind_rmse_M,locf,6,40,38,40,2,0.0010598050914643882,0.0008065645643425507,0.0013858895268630356,0.0009776856254074659,0.0011531355510156476
