scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S3_transport,D,param_err_pct,observed,1,40,40,40,0,345.4732246813951,271.1365156965879,384.69848216091196,306.82539864720695,370.6935906170537
S3_transport,D,param_err_pct,observed,2,40,40,40,0,222.66793964455007,166.37081315026717,250.60859053877653,186.08118101629287,241.78408877936454
S3_transport,D,param_err_pct,observed,3,40,40,40,0,41.50015767861285,16.405450036540948,43.69505235108018,25.101730604344663,42.97917461073715
S3_transport,D,param_err_pct,observed,4,40,40,40,0,20.777780945725087,9.357847665763042,40.05381125718294,14.107087206492508,39.51666669473819
S3_transport,D,param_err_pct,observed,5,40,40,40,0,17.434633836898783,6.910420917758503,39.009255636647595,9.550768838000879,34.01516562963577
S3_transport,D,param_err_pct,observed,6,40,40,40,0,15.08577602839778,7.244115351957047,37.610775993293565,9.558342917056862,32.0568355199577
S3_transport,D,param_err_pct,observed,7,40,40,40,0,14.881459617676008,7.5513236863860635,38.92818923604946,8.87055909015908,25.266597114716305
S3_transport,D,param_err_pct,observed,8,40,40,40,0,16.355690451941342,6.592557419998046,26.8239610824166,8.543329387750687,20.467062832058335
S3_transport,F,param_err_pct,observed,1,40,40,40,0,73.51389228864838,55.69410662463427,88.1783756486935,64.50634495966258,81.94071270140981
S3_transport,F,param_err_pct,observed,2,40,40,40,0,90.587309117367,43.108417788632146,134.36044606931438,63.05299939729181,120.33577823780593
S3_transport,F,param_err_pct,observed,3,40,40,40,0,10.272134862513782,6.085570141354568,20.260052001835422,7.063025950468072,15.883894893526696
S3_transport,F,param_err_pct,observed,4,40,40,40,0,9.306308085188386,4.3271571748173425,13.909396145654561,6.049178363399832,11.97032616739846
S3_transport,F,param_err_pct,observed,5,40,40,40,0,7.037579585276388,4.977359214713633,12.080842383805878,5.5734277640845935,10.092338026803926
S3_transport,F,param_err_pct,observed,6,40,38,38,2,6.22241416632292,2.8317295607311888,11.283330669283881,4.610840024817131,9.508651970059487
S3_transport,F,param_err_pct,observed,7,40,38,38,2,6.62913099739878,2.9721099810664064,11.502710046066472,5.1783970324602135,8.89161756111594
S3_transport,F,param_err_pct,observed,8,40,38,38,2,6.418944882791577,3.3782400577767655,12.018055852768478,4.67629477336593,11.072856905691975
S3_transport,F-uncorr,param_err_pct,observed,1,40,40,40,0,76.55357119042816,55.98321428983692,90.71954072324169,66.01638157384993,86.36538161038149
S3_transport,F-uncorr,param_err_pct,observed,2,40,40,40,0,37.62941555964754,26.7007689452052,71.76715211942117,29.356549783355657,57.66347566419985
S3_transport,F-uncorr,param_err_pct,observed,3,40,40,40,0,11.556303333781138,6.51223702936009,22.618117905603548,8.033181840068437,15.679576467017597
S3_transport,F-uncorr,param_err_pct,observed,4,40,40,40,0,8.59225422346397,4.606623595215198,13.632204786474544,5.291047990323683,12.226925814201328
S3_transport,F-uncorr,param_err_pct,observed,5,40,39,39,1,7.663604749346398,4.506780252005182,14.664539593960269,5.556234857685571,13.684583047580311
S3_transport,F-uncorr,param_err_pct,observed,6,40,38,38,2,6.798050095890851,3.604266412621393,13.962513539561815,4.9056188168313035,11.665224110047468
S3_transport,F-uncorr,param_err_pct,observed,7,40,38,38,2,6.676442668909177,3.6119512752963603,13.659193914812267,4.949605546069402,11.913656210705327
S3_transport,F-uncorr,param_err_pct,observed,8,40,38,38,2,9.159207518865465,3.7734214015107237,13.893063875686485,4.32439121003054,11.884923401226521
