scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S3ab_rtd,D,param_err_pct,locf,1,40,40,40,0,354.4576603438601,267.8950162840285,392.70164038779274,306.04365279184833,380.9275113769688
S3ab_rtd,D,param_err_pct,locf,2,40,40,40,0,207.43615173027166,163.22957745697704,249.4755594165146,180.9751199485736,240.64830987812996
S3ab_rtd,D,param_err_pct,locf,3,40,40,40,0,35.8480066704156,11.82693249833226,43.72748528142642,17.185902995471782,41.865948064071375
S3ab_rtd,D,param_err_pct,locf,4,40,40,40,0,20.50667339685416,10.064872688380861,39.90946882671242,13.83126905125844,38.962766851328176
S3ab_rtd,D,param_err_pct,locf,5,40,40,40,0,17.389847252695912,8.639196116912139,39.45789503485753,13.118700697023788,33.868871463869034
S3ab_rtd,D,param_err_pct,locf,6,40,40,40,0,15.386299892439093,7.819339489493587,38.84033613308425,11.946562616287505,25.120251122805257
S3ab_rtd,D,param_err_pct,locf,7,40,40,40,0,17.022031648114677,7.910198785747669,38.79482810539555,10.992079105124674,23.69595291368414
S3ab_rtd,D,param_err_pct,locf,8,40,40,40,0,17.182363081958663,6.9728707377030466,28.922357660605883,9.389047077500102,21.793806938577852
S3ab_rtd,F,param_err_pct,locf,1,40,40,40,0,73.56253605559917,55.895342124671416,88.06490273413104,64.18683478730908,82.08762004294351
S3ab_rtd,F,param_err_pct,locf,2,40,40,40,0,41.462828074499235,28.996587901810432,76.82160037803372,31.795397100338782,62.370083764678824
S3ab_rtd,F,param_err_pct,locf,3,40,40,40,0,13.947629202115186,6.2129087726105485,24.038638887793233,9.154509689544398,18.105940015120613
S3ab_rtd,F,param_err_pct,locf,4,40,40,40,0,11.385142861627218,3.290366746203338,17.537187076259585,6.773877182065032,14.318242360768895
S3ab_rtd,F,param_err_pct,locf,5,40,40,40,0,8.964259574255928,5.561662735654266,16.536008946051105,6.79792363232915,14.64245410708298
S3ab_rtd,F,param_err_pct,locf,6,40,39,40,1,9.82699247046438,5.9974336426801225,16.228696258847254,7.257720912252896,13.833863064875274
S3ab_rtd,F,param_err_pct,locf,7,40,38,40,2,8.87623172934524,6.0852970865356575,16.500897882155858,7.302067768280695,13.773833133317392
S3ab_rtd,F,param_err_pct,locf,8,40,38,40,2,9.174496596931403,4.9432902479124685,16.107362372306856,7.672096791800964,13.657409659052298
S3ab_rtd,D,blind_rmse_M,locf,1,40,40,40,0,0.13422538068405482,0.12480003210406915,0.15193006648956286,0.12803533105732906,0.14562442470380327
S3ab_rtd,D,blind_rmse_M,locf,2,40,40,40,0,0.031244930119271104,0.02556891535818297,0.04628721479082025,0.02661821972459351,0.04300829892291255
S3ab_rtd,D,blind_rmse_M,locf,3,40,40,40,0,0.004403945502576008,0.0033468604719709572,0.00541702689016109,0.0037725043042958536,0.0050980620409434435
S3ab_rtd,D,blind_rmse_M,locf,4,40,40,40,0,0.00329935081466253,0.0021176434926712226,0.004197165217183491,0.002345069670737612,0.00385397462236234
S3ab_rtd,D,blind_rmse_M,locf,5,40,40,40,0,0.003419098534759031,0.0019849446324289384,0.004769167431356169,0.002213190432796282,0.004031545353298966
S3ab_rtd,D,blind_rmse_M,locf,6,40,40,40,0,0.003491467122406505,0.0019751328756505834,0.004325615900652775,0.0024408156015720463,0.004114602931258367
S3ab_rtd,D,blind_rmse_M,locf,7,40,40,40,0,0.003419644190172444,0.0019828187462364653,0.004641521473768312,0.002415216391185533,0.003930245131095915
S3ab_rtd,D,blind_rmse_M,locf,8,40,40,40,0,0.003175432433977692,0.0019457706954562819,0.004316739035960259,0.0020776317731772574,0.0036927073072329634
S3ab_rtd,F,blind_rmse_M,locf,1,40,40,40,0,0.09886197404733549,0.09021882816484761,0.10333935296092682,0.09325724064065491,0.1022351513187691
S3ab_rtd,F,blind_rmse_M,locf,2,40,40,40,0,0.01418617715392105,0.01238113618978335,0.016876233070694833,0.013045595406856184,0.015341144424085254
S3ab_rtd,F,blind_rmse_M,locf,3,40,40,40,0,0.0014093611216542297,0.0009422221081666628,0.0019239075680384642,0.00122304308308354,0.0015720562012775732
S3ab_rtd,F,blind_rmse_M,locf,4,40,40,40,0,0.0010303312933766776,0.0008065814086744752,0.0012306916458654153,0.0008556929600163233,0.0011533251051491556
S3ab_rtd,F,blind_rmse_M,locf,5,40,40,40,0,0.0008946433143560792,0.0007512454363131468,0.0011619743469603527,0.0008345890953669187,0.001074934809787971
S3ab_rtd,F,blind_rmse_M,locf,6,40,39,40,1,0.0009122037761135997,0.000766523176164533,0.0011309034185883655,0.0008270675025330269,0.000988720447013654
S3ab_rtd,F,blind_rmse_M,locf,7,40,38,40,2,0.000867250238620699,0.0007415812991633387,0.0011367841664733018,0.0007839252848337447,0.0009895019814777479
S3ab_rtd,F,blind_rmse_M,locf,8,40,38,40,2,0.0008366790306863999,0.000732804522076399,0.0011456833841751793,0.0007837347427652688,0.0009660724525511441
S3ab_rtd,D,max_rel_ci_pct,locf,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S3ab_rtd,D,max_rel_ci_pct,locf,2,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
