scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S3ab_rtd,D,param_err_pct,observed,1,40,40,40,0,354.4576603438601,267.8950162840285,392.70164038779274,306.04365279184833,380.9275113769688
S3ab_rtd,D,param_err_pct,observed,2,40,40,40,0,207.43615173027166,163.22957745697704,249.4755594165146,178.79089291911862,240.64830987812996
S3ab_rtd,D,param_err_pct,observed,3,40,40,40,0,35.8480066704156,11.82693249833226,43.72748528142642,17.185902995471782,41.865948064071375
S3ab_rtd,D,param_err_pct,observed,4,40,40,40,0,20.50667339685416,10.064872688380861,39.90946882671242,14.253181985426156,39.08942479174853
S3ab_rtd,D,param_err_pct,observed,5,40,40,40,0,17.389847252695912,8.639196116912139,39.45789503485753,13.102892335109782,36.06118831112748
S3ab_rtd,D,param_err_pct,observed,6,40,40,40,0,15.386299892439093,7.819339489493587,38.84033613308425,11.946562616287505,23.633497422233823
S3ab_rtd,D,param_err_pct,observed,7,40,40,40,0,17.022031648114677,7.910198785747669,38.79482810539555,10.992079105124674,23.69595291368414
S3ab_rtd,D,param_err_pct,observed,8,40,40,40,0,17.182363081958663,6.9728707377030466,28.922357660605883,9.27553639261557,21.793806938577852
S3ab_rtd,F,param_err_pct,observed,1,40,40,40,0,73.56253605559917,55.895342124671416,88.06490273413104,64.62864163947845,82.08762004294351
S3ab_rtd,F,param_err_pct,observed,2,40,40,40,0,41.462828074499235,28.996587901810432,76.82160037803372,31.795397100338782,62.370083764678824
S3ab_rtd,F,param_err_pct,observed,3,40,40,40,0,13.947629202115186,6.2129087726105485,24.038638887793233,9.065950967539038,18.105940015120613
S3ab_rtd,F,param_err_pct,observed,4,40,40,40,0,11.385142861627218,3.290366746203338,17.537187076259585,6.579312748935684,14.474342342440703
S3ab_rtd,F,param_err_pct,observed,5,40,40,40,0,8.964259574255928,5.561662735654266,16.536008946051105,6.79792363232915,14.97081214663889
S3ab_rtd,F,param_err_pct,observed,6,40,39,39,1,9.963044219411543,6.410169707419044,16.461118140469623,7.551167492119726,14.492797718129392
S3ab_rtd,F,param_err_pct,observed,7,40,38,38,2,9.301897153867877,6.322106281930939,17.080698655981138,7.307826681967611,14.447523123273754
S3ab_rtd,F,param_err_pct,observed,8,40,38,38,2,9.174496596931403,5.2009786233210455,16.87647298457964,7.713054343861614,14.848407496044747
S3ab_rtd,D,blind_rmse_M,observed,1,40,40,40,0,0.13422538068405482,0.12480003210406915,0.15193006648956286,0.12803533105732906,0.14565054010697465
S3ab_rtd,D,blind_rmse_M,observed,2,40,40,40,0,0.031244930119271104,0.02556891535818297,0.04628721479082025,0.02665783179399671,0.04301272250559851
S3ab_rtd,D,blind_rmse_M,observed,3,40,40,40,0,0.004403945502576008,0.0033468604719709572,0.00541702689016109,0.0037725043042958536,0.0050980620409434435
S3ab_rtd,D,blind_rmse_M,observed,4,40,40,40,0,0.00329935081466253,0.0021176434926712226,0.004197165217183491,0.0023774198588380835,0.00385397462236234
S3ab_rtd,D,blind_rmse_M,observed,5,40,40,40,0,0.003419098534759031,0.0019849446324289384,0.004769167431356169,0.0021825451731789436,0.004031545353298966
S3ab_rtd,D,blind_rmse_M,observed,6,40,40,40,0,0.003491467122406505,0.0019751328756505834,0.004325615900652775,0.0024408156015720463,0.004114602931258367
S3ab_rtd,D,blind_rmse_M,observed,7,40,40,40,0,0.003419644190172444,0.0019828187462364653,0.004641521473768312,0.0024925014160298267,0.003930245131095915
S3ab_rtd,D,blind_rmse_M,observed,8,40,40,40,0,0.003175432433977692,0.0019457706954562819,0.004316739035960259,0.0020776317731772574,0.0036927073072329634
S3ab_rtd,F,blind_rmse_M,observed,1,40,40,40,0,0.09886197404733549,0.09021882816484761,0.10333935296092682,0.09326241663321558,0.1022351513187691
S3ab_rtd,F,blind_rmse_M,observed,2,40,40,40,0,0.01418617715392105,0.01238113618978335,0.016876233070694833,0.013045595406856184,0.015342364038492757
S3ab_rtd,F,blind_rmse_M,observed,3,40,40,40,0,0.0014093611216542297,0.0009422221081666628,0.0019239075680384642,0.001234084616860952,0.0015720562012775732
S3ab_rtd,F,blind_rmse_M,observed,4,40,40,40,0,0.0010303312933766776,0.0008065814086744752,0.0012306916458654153,0.0008561466071511151,0.0011533251051491556
S3ab_rtd,F,blind_rmse_M,observed,5,40,40,40,0,0.0008946433143560792,0.0007512454363131468,0.0011619743469603527,0.0008345890953669187,0.0010904941356950763
S3ab_rtd,F,blind_rmse_M,observed,6,40,39,39,1,0.0008986678972054343,0.0007574401062512071,0.0011150972508882865,0.000826208646462758,0.0009771808472836645
S3ab_rtd,F,blind_rmse_M,observed,7,40,38,38,2,0.000867250238620699,0.000744407567906429,0.001170653855307896,0.0007865217708230691,0.0009806158125881335
S3ab_rtd,F,blind_rmse_M,observed,8,40,38,38,2,0.0008366790306863999,0.0007417189712569478,0.0011539824794574455,0.0007837397502325934,0.0009478910843354852
S3ab_rtd,D,max_rel_ci_pct,observed,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S3ab_rtd,D,max_rel_ci_pct,observed,2,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S3ab_rtd,D,max_rel_ci_pct,observed,3,40,40,40,0,1264.7843010866568,71.91128648381226,10000.0,87.0559504138366,10000.0
S3ab_rtd,D,max_rel_ci_pct,observed,4,40,40,40,0,142.95993176173914,63.36451405395674,10000.0,84.3135686818259,10000.0
S3ab_rtd,D,max_rel_ci_pct,observed,5,40,40,40,0,91.59936177704311,35.66715729434681,10000.0,54.601658509028404,408.70766960929916
S3ab_rtd,D,max_rel_ci_pct,observed,6,40,40,40,0,63.91934474822847,36.73496169122792,457.2326277653242,41.07650311131661,142.83821267798098
S3ab_rtd,D,max_rel_ci_pct,observed,7,40,40,40,0,74.45873382512582,36.053137273618155,2767.314103982323,39.248952365589005,120.52599717667425
S3ab_rtd,D,max_rel_ci_pct,observed,8,40,40,40,0,59.65706774075402,26.219424242309536,127.1833540847434,29.273777052840344,87.24430870387722
S3ab_rtd,F,max_rel_ci_pct,observed,1,40,40,40,0,761.3063700474979,761.306369893798,2075.538146326539,761.3063699545482,1249.6565746765302
S3ab_rtd,F,max_rel_ci_pct,observed,2,40,40,40,0,716.7288656811354,698.927210130355,1040.2925748266698,705.2403311769577,757.4640974981814
S3ab_rtd,F,max_rel_ci_pct,observed,3,40,40,40,0,74.56724203892598,44.11783659201679,198.730157156059,56.068789531670376,122.05132172639352
S3ab_rtd,F,max_rel_ci_pct,observed,4,40,40,40,0,55.876966214595804,34.900011396665924,100.98113758090531,45.194732442395974,73.71595729096286
S3ab_rtd,F,max_rel_ci_pct,observed,5,40,40,40,0,39.35475473187139,26.697449587295424,74.90884439833381,28.623617751813867,56.669332326667885
S3ab_rtd,F,max_rel_ci_pct,observed,6,40,39,39,1,31.3036665196438,25.137995922727452,60.01849513929316,26.705489316622845,43.237229265383334
S3ab_rtd,F,max_rel_ci_pct,observed,7,40,38,38,2,26.431388053362916,19.16427289250668,59.036116453686674,21.717132892953405,36.61704452921673
S3ab_rtd,F,max_rel_ci_pct,observed,8,40,38,38,2,25.1390973059915,18.11058166144494,59.63230967921353,19.154953230032866,34.93645549669948
