scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S4a_ambiguity,D,param_err_pct,locf,1,40,40,40,0,344.40372718322106,266.37515680389345,382.8884893419174,293.62833853583913,369.8842568734708
S4a_ambiguity,D,param_err_pct,locf,2,40,40,40,0,193.75137947374265,141.88582905089666,261.3672890521253,164.73161151278183,241.3844292441154
S4a_ambiguity,D,param_err_pct,locf,3,40,40,40,0,24.324270160988014,13.233532567834743,42.76482932745526,18.861584651211793,39.70938098754488
S4a_ambiguity,D,param_err_pct,locf,4,40,40,40,0,21.607877644909202,11.297679106449621,39.53064633193952,14.243161865990617,30.634626575809488
S4a_ambiguity,D,param_err_pct,locf,5,40,40,40,0,17.495896876364235,10.212937334945547,39.386286968585054,12.484807868020663,25.074169673073133
S4a_ambiguity,D,param_err_pct,locf,6,40,40,40,0,16.83536543200629,9.317473099996509,30.022886227413103,13.0952914296111,24.181827393610078
S4a_ambiguity,D,param_err_pct,locf,7,40,40,40,0,17.848937150730816,8.644082938877613,35.1243519720466,11.727463824598727,25.035252907905402
S4a_ambiguity,D,param_err_pct,locf,8,40,40,40,0,14.676349744236628,7.668132909369618,25.732905082255474,10.216480338913325,21.139364292670095
S4a_ambiguity,D,param_err_pct,locf,9,40,40,40,0,13.73597408799213,8.496805358504268,22.945156145905166,10.011516186523162,18.555248312511587
S4a_ambiguity,D,param_err_pct,locf,10,40,40,40,0,13.496044060104607,7.776305758484131,24.259796367847528,10.6348778987442,18.605987379835465
S4a_ambiguity,F,param_err_pct,locf,1,40,40,40,0,81.58763566201625,60.02725556600639,92.35524048158217,68.32115374843829,87.01885008690459
S4a_ambiguity,F,param_err_pct,locf,2,40,40,40,0,46.34272802952968,25.103273690692184,71.71170597167591,29.79993271999649,58.67451435932535
S4a_ambiguity,F,param_err_pct,locf,3,40,40,40,0,19.007288936054845,9.73771475395661,28.065612386704444,12.509795250700373,22.15660136857897
S4a_ambiguity,F,param_err_pct,locf,4,40,40,40,0,15.100889865460655,9.317416256862387,24.769430190551706,10.321074574207678,20.172371592451135
S4a_ambiguity,F,param_err_pct,locf,5,40,39,40,1,13.371570690667735,8.035162280984936,20.72916602428483,9.338610208201104,18.36525235414158
S4a_ambiguity,F,param_err_pct,locf,6,40,39,40,1,12.447974566602182,6.646732888059348,20.028125695917343,8.033958996715162,17.847221784809552
S4a_ambiguity,F,param_err_pct,locf,7,40,39,40,1,11.187500400639927,6.531916015506262,21.28966669979223,8.553200144642393,16.563629967450144
S4a_ambiguity,F,param_err_pct,locf,8,40,38,40,2,10.69042671111613,6.1255030709416065,21.356136330197486,7.598928717797548,15.511038332471502
S4a_ambiguity,F,param_err_pct,locf,9,40,38,40,2,11.173442850658322,5.855190028880697,20.93310440103671,8.36399002618613,15.767833148652198
S4a_ambiguity,F,param_err_pct,locf,10,40,37,40,3,10.524897552960466,5.541208467556757,19.845563433879654,8.651028627383894,16.069576968643496
S4a_ambiguity,D,blind_rmse_M,locf,1,40,40,40,0,0.1445001186132081,0.12774567338918671,0.15419556662502254,0.13527342097239398,0.15049757018582458
S4a_ambiguity,D,blind_rmse_M,locf,2,40,40,40,0,0.030496565485110996,0.025556180835538025,0.04744077252767125,0.02715453870233602,0.04568676959084446
S4a_ambiguity,D,blind_rmse_M,locf,3,40,40,40,0,0.004578937412058538,0.0033586980053206946,0.006507576221925794,0.0038738823836842688,0.005445266220475937
S4a_ambiguity,D,blind_rmse_M,locf,4,40,40,40,0,0.0034228433400307124,0.002485829143707855,0.005280083106045588,0.002978580250139716,0.004254020989961524
S4a_ambiguity,D,blind_rmse_M,locf,5,40,40,40,0,0.0035184177350613775,0.002307774686605644,0.0048060745486368205,0.0028981846579851523,0.004316442203045589
S4a_ambiguity,D,blind_rmse_M,locf,6,40,40,40,0,0.0034342923153226706,0.002261923472889827,0.004464405039878966,0.002899001916529061,0.0041292326800729156
S4a_ambiguity,D,blind_rmse_M,locf,7,40,40,40,0,0.003685405897010624,0.0022359876160589877,0.004770761805274713,0.003053201022845575,0.004092831340474201
S4a_ambiguity,D,blind_rmse_M,locf,8,40,40,40,0,0.003388665683971426,0.0021429622616318915,0.004336521336035935,0.0024050313592431094,0.0039016075449089197
S4a_ambiguity,D,blind_rmse_M,locf,9,40,40,40,0,0.0031283803722103403,0.002176823691142917,0.004490805744749792,0.0024472606083767866,0.003993608910886842
S4a_ambiguity,D,blind_rmse_M,locf,10,40,40,40,0,0.0031583229645105785,0.0019362791947698274,0.004370192521148354,0.002372216618980518,0.003873741215699099
S4a_ambiguity,F,blind_rmse_M,locf,1,40,40,40,0,0.09869373308602528,0.0910867832513146,0.10218838832098621,0.09482329906792035,0.10149397400228027
S4a_ambiguity,F,blind_rmse_M,locf,2,40,40,40,0,0.01398364605411871,0.011303966292197981,0.016364946763939986,0.012072008436289937,0.015208740413449134
S4a_ambiguity,F,blind_rmse_M,locf,3,40,40,40,0,0.001664246755702474,0.0010780328436320898,0.002076983097013225,0.0012436289959082251,0.0018295141750810815
S4a_ambiguity,F,blind_rmse_M,locf,4,40,40,40,0,0.001455722855651033,0.0008921615556327888,0.001678094284078622,0.0011632872939294164,0.0015647495397851548
S4a_ambiguity,F,blind_rmse_M,locf,5,40,39,40,1,0.001186777946546893,0.000825147324289644,0.0015211774569085415,0.0009350826772435877,0.0013046729415634945
S4a_ambiguity,F,blind_rmse_M,locf,6,40,39,40,1,0.0008983692945870282,0.0007303664304578782,0.0013130372823441524,0.0008200945302630666,0.0011700898528765643
