scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S4a_ambiguity,D,param_err_pct,observed,1,40,40,40,0,344.40372718322106,266.37515680389345,382.8884893419174,293.62833853583913,369.567433315319
S4a_ambiguity,D,param_err_pct,observed,2,40,40,40,0,193.75137947374265,141.88582905089666,261.3672890521253,164.08001657085177,243.23506165772505
S4a_ambiguity,D,param_err_pct,observed,3,40,40,40,0,24.324270160988014,13.233532567834743,42.76482932745526,19.504779401514778,39.30684567118483
S4a_ambiguity,D,param_err_pct,observed,4,40,40,40,0,21.607877644909202,11.297679106449621,39.53064633193952,14.243161865990617,30.634626575809488
S4a_ambiguity,D,param_err_pct,observed,5,40,40,40,0,17.495896876364235,10.212937334945547,39.386286968585054,12.484807868020663,25.074169673073133
S4a_ambiguity,D,param_err_pct,observed,6,40,40,40,0,16.83536543200629,9.317473099996509,30.022886227413103,13.10538963057729,24.182190739969368
S4a_ambiguity,D,param_err_pct,observed,7,40,40,40,0,17.848937150730816,8.644082938877613,35.1243519720466,11.727463824598727,25.035252907905402
S4a_ambiguity,D,param_err_pct,observed,8,40,40,40,0,14.676349744236628,7.668132909369618,25.732905082255474,10.216480338913325,21.139364292670095
S4a_ambiguity,D,param_err_pct,observed,9,40,40,40,0,13.73597408799213,8.496805358504268,22.945156145905166,9.627126956087794,19.037177736832156
S4a_ambiguity,D,param_err_pct,observed,10,40,40,40,0,13.496044060104607,7.776305758484131,24.259796367847528,10.6348778987442,18.605987379835465
S4a_ambiguity,F,param_err_pct,observed,1,40,40,40,0,81.58763566201625,60.02725556600639,92.35524048158217,69.20934882615974,87.01885008690459
S4a_ambiguity,F,param_err_pct,observed,2,40,40,40,0,46.34272802952968,25.103273690692184,71.71170597167591,29.79993271999649,58.665205510671285
S4a_ambiguity,F,param_err_pct,observed,3,40,40,40,0,19.007288936054845,9.73771475395661,28.065612386704444,12.509795250700373,22.30860776041442
S4a_ambiguity,F,param_err_pct,observed,4,40,40,40,0,15.100889865460655,9.317416256862387,24.769430190551706,10.321074574207678,20.172371592451135
S4a_ambiguity,F,param_err_pct,observed,5,40,39,39,1,13.160772497016616,7.890461914621049,20.773449631355344,9.143307639379383,19.45088421884993
S4a_ambiguity,F,param_err_pct,observed,6,40,39,39,1,12.380910638991427,6.5740309748225645,20.145900416433868,7.363419135434657,18.239956198128414
S4a_ambiguity,F,param_err_pct,observed,7,40,39,39,1,10.921487681461862,6.473389691715036,22.15501146231069,7.709972457404901,18.069076144101825
S4a_ambiguity,F,param_err_pct,observed,8,40,38,38,2,10.69042671111613,6.1042041078422375,21.611516623338552,7.331134863147614,17.565302054699284
S4a_ambiguity,F,param_err_pct,observed,9,40,38,38,2,11.173442850658322,5.104090699931929,21.29976086335154,7.907326319808772,17.33768474503493
S4a_ambiguity,F,param_err_pct,observed,10,40,37,37,3,10.378111987180016,4.841412807796863,19.51990137709332,7.573216733130095,16.632460833505448
S4a_ambiguity,D,blind_rmse_M,observed,1,40,40,40,0,0.1445001186132081,0.12774567338918671,0.15419556662502254,0.13527342097239398,0.15049757018582458
S4a_ambiguity,D,blind_rmse_M,observed,2,40,40,40,0,0.030496565485110996,0.025556180835538025,0.04744077252767125,0.02715453870233602,0.04567023114690681
S4a_ambiguity,D,blind_rmse_M,observed,3,40,40,40,0,0.004578937412058538,0.0033586980053206946,0.006507576221925794,0.0035917633621228837,0.005445266220475937
S4a_ambiguity,D,blind_rmse_M,observed,4,40,40,40,0,0.0034228433400307124,0.002485829143707855,0.005280083106045588,0.0029693831302041525,0.004254020989961524
S4a_ambiguity,D,blind_rmse_M,observed,5,40,40,40,0,0.0035184177350613775,0.002307774686605644,0.0048060745486368205,0.0028981846579851523,0.004316442203045589
S4a_ambiguity,D,blind_rmse_M,observed,6,40,40,40,0,0.0034342923153226706,0.002261923472889827,0.004464405039878966,0.002899001916529061,0.004154724592903784
S4a_ambiguity,D,blind_rmse_M,observed,7,40,40,40,0,0.003685405897010624,0.0022359876160589877,0.004770761805274713,0.002964216275531451,0.004092831340474201
S4a_ambiguity,D,blind_rmse_M,observed,8,40,40,40,0,0.003388665683971426,0.0021429622616318915,0.004336521336035935,0.0023813879103536098,0.0039016075449089197
S4a_ambiguity,D,blind_rmse_M,observed,9,40,40,40,0,0.0031283803722103403,0.002176823691142917,0.004490805744749792,0.0024472606083767866,0.004082963578848066
S4a_ambiguity,D,blind_rmse_M,observed,10,40,40,40,0,0.0031583229645105785,0.0019362791947698274,0.004370192521148354,0.002372216618980518,0.0039019461800698036
S4a_ambiguity,F,blind_rmse_M,observed,1,40,40,40,0,0.09869373308602528,0.0910867832513146,0.10218838832098621,0.09482329906792035,0.10149397400228027
S4a_ambiguity,F,blind_rmse_M,observed,2,40,40,40,0,0.01398364605411871,0.011303966292197981,0.016364946763939986,0.012072008436289937,0.015208740413449134
S4a_ambiguity,F,blind_rmse_M,observed,3,40,40,40,0,0.001664246755702474,0.0010780328436320898,0.002076983097013225,0.0013076064711942006,0.0018295141750810815
S4a_ambiguity,F,blind_rmse_M,observed,4,40,40,40,0,0.001455722855651033,0.0008921615556327888,0.001678094284078622,0.0011632872939294164,0.0015626914891904418
S4a_ambiguity,F,blind_rmse_M,observed,5,40,39,39,1,0.0011819518869805627,0.0008218359023582352,0.0014968342928328756,0.0009342990820094059,0.0013035310748902317
S4a_ambiguity,F,blind_rmse_M,observed,6,40,39,39,1,0.000894029105622527,0.0007291468509209669,0.0012731792767591153,0.0008190896625252708,0.0011592895264971126
S4a_ambiguity,F,blind_rmse_M,observed,7,40,39,39,1,0.0008653404307184724,0.0006810810059164683,0.0011380919929586827,0.0007088835974415884,0.0009670748955792158
S4a_ambiguity,F,blind_rmse_M,observed,8,40,38,38,2,0.000860715489159137,0.0006439534576193749,0.001196421519253274,0.0007445978492342034,0.0010381605942027874
S4a_ambiguity,F,blind_rmse_M,observed,9,40,38,38,2,0.000796590908653414,0.0005201616027832935,0.0011385659079699996,0.0006804153539032987,0.0009613511066080998
S4a_ambiguity,F,blind_rmse_M,observed,10,40,37,37,3,0.000790522318870155,0.0005685036522279122,0.0011282136458530777,0.0006445420558089932,0.0009677625063506127
S4a_ambiguity,D,max_rel_ci_pct,observed,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4a_ambiguity,D,max_rel_ci_pct,observed,2,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4a_ambiguity,D,max_rel_ci_pct,observed,3,40,40,40,0,253.5798365188408,76.69055443229054,10000.0,124.50172898154811,1033.7525836478421
S4a_ambiguity,D,max_rel_ci_pct,observed,4,40,40,40,0,186.93827201518982,60.46320235012136,10000.0,72.58004685978169,571.2596041953783
S4a_ambiguity,D,max_rel_ci_pct,observed,5,40,40,40,0,77.98641626438868,40.140746293928196,10000.0,53.02258506473785,146.4602248584509
S4a_ambiguity,D,max_rel_ci_pct,observed,6,40,40,40,0,69.49838604636852,43.576976105837915,177.18524030083455,54.28775642777303,116.90208445809344
S4a_ambiguity,D,max_rel_ci_pct,observed,7,40,40,40,0,75.95081710608099,35.11890412076453,218.6397688400254,46.25887508594468,118.96736756523998
S4a_ambiguity,D,max_rel_ci_pct,observed,8,40,40,40,0,50.02513083195255,28.085213058975928,105.88449890332625,32.31983521344268,75.70612421421205
S4a_ambiguity,D,max_rel_ci_pct,observed,9,40,40,40,0,43.50279315952878,26.95443040632753,81.942854747859,30.803021984333366,59.398335473838074
S4a_ambiguity,D,max_rel_ci_pct,observed,10,40,40,40,0,44.32919345756568,24.724262837728073,85.35125118421186,26.331169008341938,57.71193601998108
S4a_ambiguity,F,max_rel_ci_pct,observed,1,40,40,40,0,761.3063700418161,761.3063698810746,1800.3199663987111,761.3063699160389,1128.0953292492063
S4a_ambiguity,F,max_rel_ci_pct,observed,2,40,40,40,0,720.5911418851964,647.2290283564543,1083.7617697705227,694.4072476167705,992.6127746023363
S4a_ambiguity,F,max_rel_ci_pct,observed,3,40,40,40,0,95.96985825558016,55.35382804766766,270.72243566756345,71.52259605581996,227.61294481401015
S4a_ambiguity,F,max_rel_ci_pct,observed,4,40,40,40,0,67.01080766465338,40.09791615517709,151.24513499906584,45.45859141487466,97.70938506262469
S4a_ambiguity,F,max_rel_ci_pct,observed,5,40,39,39,1,37.69024635919607,27.293155457104156,68.31377557156549,28.988775638323673,54.75514551072591
S4a_ambiguity,F,max_rel_ci_pct,observed,6,40,39,39,1,32.07917378672312,23.613530559469666,62.34967933145738,26.673581741256868,48.49354155771588
S4a_ambiguity,F,max_rel_ci_pct,observed,7,40,39,39,1,28.985435405896,18.477513415112412,60.22859247236877,21.686470017397497,42.00448255832831
S4a_ambiguity,F,max_rel_ci_pct,observed,8,40,38,38,2,24.722193202853692,16.72821081545183,52.20574109543808,20.141198063344667,39.1932505990377
S4a_ambiguity,F,max_rel_ci_pct,observed,9,40,38,38,2,24.09025843017475,16.26700946411929,52.06986501672671,19.194713915783915,30.155226981085384
S4a_ambiguity,F,max_rel_ci_pct,observed,10,40,37,37,3,20.88318150040771,13.599524295519604,42.6809836486024,15.337096828487539,29.88645257193292
S4a_ambiguity,F,p_correct,observed,1,40,40,40,0,0.33280635848015677,0.3275834851845921,0.33540354600463496,0.32911051789336,0.3345006860641585
S4a_ambiguity,F,p_correct,observed,2,40,40,40,0,0.4991907335908845,0.49635038139211024,0.5164159688163106,0.4977512801601719,0.5112842374648398
S4a_ambiguity,F,p_correct,observed,3,40,40,40,0,0.1469116729728039,0.058471962582588424,0.2792038672815662,0.09878460901242625,0.19597610283027347
