scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S4b_identifiable,D,param_err_pct,locf,1,40,40,40,0,344.40372718322106,266.37515680389345,382.8884893419174,293.62833853583913,369.8842568734708
S4b_identifiable,D,param_err_pct,locf,2,40,40,40,0,193.75137947374265,141.88582905089666,261.3672890521253,164.68283870636984,243.23506165772505
S4b_identifiable,D,param_err_pct,locf,3,40,40,40,0,24.324270160988014,13.233532567834743,42.76482932745526,18.861584651211793,39.30684567118483
S4b_identifiable,D,param_err_pct,locf,4,40,40,40,0,21.607877644909202,11.297679106449621,39.53064633193952,14.243161865990617,30.634626575809488
S4b_identifiable,D,param_err_pct,locf,5,40,40,40,0,17.495896876364235,10.212937334945547,39.386286968585054,12.735098032049319,25.074169673073133
S4b_identifiable,D,param_err_pct,locf,6,40,40,40,0,16.83536543200629,9.317473099996509,30.022886227413103,13.10538963057729,24.181827393610078
S4b_identifiable,D,param_err_pct,locf,7,40,40,40,0,17.848937150730816,8.644082938877613,35.1243519720466,11.727463824598727,25.035252907905402
S4b_identifiable,D,param_err_pct,locf,8,40,40,40,0,14.676349744236628,7.668132909369618,25.732905082255474,10.216480338913325,21.279419999330862
S4b_identifiable,F,param_err_pct,locf,1,40,40,40,0,77.58198259737773,46.88374984393994,92.35524048158217,61.03162461017831,86.0685978968067
S4b_identifiable,F,param_err_pct,locf,2,40,38,40,2,43.94792369567429,28.72402759369661,71.39507379922709,31.989665919528722,57.616997366219636
S4b_identifiable,F,param_err_pct,locf,3,40,38,40,2,15.474643803358967,7.929611599549635,27.733363319396847,9.650766000487344,21.578565159313655
S4b_identifiable,F,param_err_pct,locf,4,40,38,40,2,17.29291219059249,12.26739091771874,32.26094892538974,14.565667751305655,24.26612121877686
S4b_identifiable,F,param_err_pct,locf,5,40,36,40,4,12.198202086248145,8.461759800366908,30.78339712606308,8.794015266023514,16.218403502806368
S4b_identifiable,F,param_err_pct,locf,6,40,36,40,4,10.57583276787647,6.826521221148369,26.524919073917502,7.583740187772925,19.310703027797672
S4b_identifiable,F,param_err_pct,locf,7,40,36,40,4,10.178794187604689,6.899242179705722,27.365039191502856,8.260632085183305,16.755026631384272
S4b_identifiable,F,param_err_pct,locf,8,40,35,40,5,10.098982561293335,5.005670667793661,27.536184059995577,7.316363206685084,16.203996877718218
S4b_identifiable,D,blind_rmse_M,locf,1,40,40,40,0,0.1445001186132081,0.12774567338918671,0.15419556662502254,0.13527342097239398,0.15049757018582458
S4b_identifiable,D,blind_rmse_M,locf,2,40,40,40,0,0.030496565485110996,0.025556180835538025,0.04744077252767125,0.02715453870233602,0.04567023114690681
S4b_identifiable,D,blind_rmse_M,locf,3,40,40,40,0,0.004578937412058538,0.0033586980053206946,0.006507576221925794,0.00385168228711104,0.005445266220475937
S4b_identifiable,D,blind_rmse_M,locf,4,40,40,40,0,0.0034228433400307124,0.002485829143707855,0.005280083106045588,0.002978580250139716,0.004254020989961524
S4b_identifiable,D,blind_rmse_M,locf,5,40,40,40,0,0.0035184177350613775,0.002307774686605644,0.0048060745486368205,0.0028970136707572335,0.0042948328096689345
S4b_identifiable,D,blind_rmse_M,locf,6,40,40,40,0,0.0034342923153226706,0.002261923472889827,0.004464405039878966,0.002899001916529061,0.0041292326800729156
S4b_identifiable,D,blind_rmse_M,locf,7,40,40,40,0,0.003685405897010624,0.0022359876160589877,0.004770761805274713,0.003053201022845575,0.004092831340474201
S4b_identifiable,D,blind_rmse_M,locf,8,40,40,40,0,0.003388665683971426,0.0021429622616318915,0.004336521336035935,0.0023813879103536098,0.0038918947163695343
S4b_identifiable,F,blind_rmse_M,locf,1,40,40,40,0,0.10394908390030648,0.10012555925325808,0.11145927971362599,0.10233386697094267,0.10827433195840128
S4b_identifiable,F,blind_rmse_M,locf,2,40,38,40,2,0.017715564125879144,0.016247425517791497,0.024960339238876035,0.016876742754928124,0.02397012612797147
S4b_identifiable,F,blind_rmse_M,locf,3,40,38,40,2,0.002998263663272368,0.0015261320346150295,0.02061966144310998,0.0021163540274401395,0.004426160134420247
S4b_identifiable,F,blind_rmse_M,locf,4,40,38,40,2,0.0015541458212382517,0.001061262523438226,0.0022787486742995343,0.0012132833654392864,0.0018838496972535762
S4b_identifiable,F,blind_rmse_M,locf,5,40,36,40,4,0.0010577907782277891,0.0007884042066728961,0.0015119156928177504,0.0009196597600415865,0.0013405539875648751
S4b_identifiable,F,blind_rmse_M,locf,6,40,36,40,4,0.0009858581447867642,0.000718914830130698,0.001343325187322987,0.000756467463566118,0.0011605357312461605
S4b_identifiable,F,blind_rmse_M,locf,7,40,36,40,4,0.0008330124150942641,0.0006903785844610252,0.0011751871613067725,0.0007552622146187976,0.0010253530557098663
S4b_identifiable,F,blind_rmse_M,locf,8,40,35,40,5,0.0008067603235551636,0.0006621966153715385,0.0011394976115167573,0.0006854292723057146,0.0010202012827345297
S4b_identifiable,D,max_rel_ci_pct,locf,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,locf,2,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,locf,3,40,40,40,0,253.5798365188408,76.69055443229054,10000.0,123.93652095271369,1033.7525836478421
S4b_identifiable,D,max_rel_ci_pct,locf,4,40,40,40,0,186.93827201518982,60.46320235012136,10000.0,72.58004685978169,530.4375359981362
S4b_identifiable,D,max_rel_ci_pct,locf,5,40,40,40,0,77.98641626438868,40.140746293928196,10000.0,53.02258506473785,146.4602248584509
S4b_identifiable,D,max_rel_ci_pct,locf,6,40,40,40,0,69.49838604636852,43.576976105837915,177.18524030083455,54.28775642777303,116.90208445809344
S4b_identifiable,D,max_rel_ci_pct,locf,7,40,40,40,0,75.95081710608099,35.11890412076453,218.6397688400254,46.505907700279565,118.96736756523998
S4b_identifiable,D,max_rel_ci_pct,locf,8,40,40,40,0,50.02513083195255,28.085213058975928,105.88449890332625,32.31983521344268,75.70612421421205
S4b_identifiable,F,max_rel_ci_pct,locf,1,40,40,40,0,761.3063700418161,761.3063690385704,1681.7304826519303,761.3063699013472,1079.7248017683846
S4b_identifiable,F,max_rel_ci_pct,locf,2,40,38,40,2,721.6835058339466,627.6645099825782,1068.0131914913095,688.3852213231696,910.2319643033892
S4b_identifiable,F,max_rel_ci_pct,locf,3,40,38,40,2,93.19025983094153,34.85100272266375,401.07881465933144,58.28304525820334,262.0556371747746
S4b_identifiable,F,max_rel_ci_pct,locf,4,40,38,40,2,122.39179676057364,63.71484034654419,500.0794927562539,78.13822212639008,369.63944928354596
S4b_identifiable,F,max_rel_ci_pct,locf,5,40,36,40,4,44.88284549682983,29.065704531351034,186.76870450475798,35.51537876596367,68.60838576003772
S4b_identifiable,F,max_rel_ci_pct,locf,6,40,36,40,4,35.849132155870436,23.929468998298987,163.20440459431026,27.95988822273615,48.310255908784185
S4b_identifiable,F,max_rel_ci_pct,locf,7,40,36,40,4,29.617441192639603,18.546424414988294,115.66126000264572,20.904857672632676,50.832772178361566
S4b_identifiable,F,max_rel_ci_pct,locf,8,40,35,40,5,24.818456169514846,18.502402626170994,76.95619747443793,20.089020014761726,49.34184467548066
S4b_identifiable,F,p_correct,locf,1,40,40,40,0,0.49960525779414466,0.4968068063736435,0.501029627211599,0.497594531752495,0.5004536890662918
S4b_identifiable,F,p_correct,locf,2,40,38,40,2,0.509645165574788,0.4823899219079707,0.9999999999972267,0.49742872750690353,0.9999959184219813
S4b_identifiable,F,p_correct,locf,3,40,38,40,2,1.0,0.49877708255242403,1.0,0.9999771439067772,1.0
S4b_identifiable,F,p_correct,locf,4,40,38,40,2,1.0,1.0,1.0,1.0,1.0
S4b_identifiable,F,p_correct,locf,5,40,36,40,4,1.0,1.0,1.0,1.0,1.0
S4b_identifiable,F,p_correct,locf,6,40,36,40,4,1.0,1.0,1.0,1.0,1.0
S4b_identifiable,F,p_correct,locf,7,40,36,40,4,1.0,1.0,1.0,1.0,1.0
S4b_identifiable,F,p_correct,locf,8,40,35,40,5,1.0,1.0,1.0,1.0,1.0
