scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S4b_identifiable,D,param_err_pct,observed,1,40,40,40,0,344.40372718322106,266.37515680389345,382.8884893419174,293.70997612824306,369.8842568734708
S4b_identifiable,D,param_err_pct,observed,2,40,40,40,0,193.75137947374265,141.88582905089666,261.3672890521253,164.73161151278183,243.23506165772505
S4b_identifiable,D,param_err_pct,observed,3,40,40,40,0,24.324270160988014,13.233532567834743,42.76482932745526,18.861584651211793,39.30684567118483
S4b_identifiable,D,param_err_pct,observed,4,40,40,40,0,21.607877644909202,11.297679106449621,39.53064633193952,14.243161865990617,30.634626575809488
S4b_identifiable,D,param_err_pct,observed,5,40,40,40,0,17.495896876364235,10.212937334945547,39.386286968585054,12.484807868020663,25.074169673073133
S4b_identifiable,D,param_err_pct,observed,6,40,40,40,0,16.83536543200629,9.317473099996509,30.022886227413103,13.10538963057729,24.182190739969368
S4b_identifiable,D,param_err_pct,observed,7,40,40,40,0,17.848937150730816,8.644082938877613,35.1243519720466,11.727463824598727,23.91187086199806
S4b_identifiable,D,param_err_pct,observed,8,40,40,40,0,14.676349744236628,7.668132909369618,25.732905082255474,10.216480338913325,21.139364292670095
S4b_identifiable,F,param_err_pct,observed,1,40,40,40,0,77.58198259737773,46.88374984393994,92.35524048158217,61.47854986976549,86.0685978968067
S4b_identifiable,F,param_err_pct,observed,2,40,38,38,2,43.34355462336647,27.50945522304302,71.19416422761243,31.674890005629443,57.616997366219636
S4b_identifiable,F,param_err_pct,observed,3,40,38,38,2,13.966744169897149,7.925089544715491,25.01761440652981,9.600191398484604,20.27749451287706
S4b_identifiable,F,param_err_pct,observed,4,40,38,38,2,16.695442485011725,10.969846688711366,29.90899302428564,14.316983132377992,22.252728801862997
S4b_identifiable,F,param_err_pct,observed,5,40,36,36,4,11.658114629530548,8.13159967767071,18.775699349125798,8.625376013378228,15.068841606442064
S4b_identifiable,F,param_err_pct,observed,6,40,36,36,4,9.459571928718102,6.33696879624277,21.332667994161834,7.350809735029351,12.686852609371225
S4b_identifiable,F,param_err_pct,observed,7,40,36,36,4,9.491307249823267,5.3823204700161495,18.56619400904605,7.614822425779488,11.458885162449883
S4b_identifiable,F,param_err_pct,observed,8,40,35,35,5,8.614638495847249,4.851177019778275,20.953783820301584,6.48406490697544,11.728197426934628
S4b_identifiable,D,blind_rmse_M,observed,1,40,40,40,0,0.1445001186132081,0.12774567338918671,0.15419556662502254,0.13527342097239398,0.15049757018582458
S4b_identifiable,D,blind_rmse_M,observed,2,40,40,40,0,0.030496565485110996,0.025556180835538025,0.04744077252767125,0.02715453870233602,0.04567023114690681
S4b_identifiable,D,blind_rmse_M,observed,3,40,40,40,0,0.004578937412058538,0.0033586980053206946,0.006507576221925794,0.003825515580283452,0.005445266220475937
S4b_identifiable,D,blind_rmse_M,observed,4,40,40,40,0,0.0034228433400307124,0.002485829143707855,0.005280083106045588,0.0029877773700752795,0.004254020989961524
S4b_identifiable,D,blind_rmse_M,observed,5,40,40,40,0,0.0035184177350613775,0.002307774686605644,0.0048060745486368205,0.0028981846579851523,0.004316442203045589
S4b_identifiable,D,blind_rmse_M,observed,6,40,40,40,0,0.0034342923153226706,0.002261923472889827,0.004464405039878966,0.002899001916529061,0.004154724592903784
S4b_identifiable,D,blind_rmse_M,observed,7,40,40,40,0,0.003685405897010624,0.0022359876160589877,0.004770761805274713,0.0030678405877980837,0.004092831340474201
S4b_identifiable,D,blind_rmse_M,observed,8,40,40,40,0,0.003388665683971426,0.0021429622616318915,0.004336521336035935,0.0023577444614641106,0.0039016075449089197
S4b_identifiable,F,blind_rmse_M,observed,1,40,40,40,0,0.10394908390030648,0.10012555925325808,0.11145927971362599,0.10233386697094267,0.10827433195840128
S4b_identifiable,F,blind_rmse_M,observed,2,40,38,38,2,0.017447077991459226,0.0162079775001065,0.024646382399468994,0.016702361034153745,0.02370604732212161
S4b_identifiable,F,blind_rmse_M,observed,3,40,38,38,2,0.002832753980921016,0.0014855037147940855,0.0057871902507814765,0.002005687811721258,0.004162817105961019
S4b_identifiable,F,blind_rmse_M,observed,4,40,38,38,2,0.0014030903003596452,0.0010543564127863015,0.0021168147139041366,0.0011649292333784597,0.0018341020594394438
S4b_identifiable,F,blind_rmse_M,observed,5,40,36,36,4,0.0010360350723008088,0.0007884042066728961,0.0013924023710329887,0.0008997147164305775,0.0012439956226340428
S4b_identifiable,F,blind_rmse_M,observed,6,40,36,36,4,0.0009245690153956987,0.000718914830130698,0.001266822605398895,0.0007476497842563258,0.0010860255713025964
S4b_identifiable,F,blind_rmse_M,observed,7,40,36,36,4,0.000820743379419855,0.0006903785844610252,0.001121191062380589,0.0007435680353350438,0.0009916263952065726
S4b_identifiable,F,blind_rmse_M,observed,8,40,35,35,5,0.0007809846463304067,0.0006617680640826236,0.0010532102514214175,0.0006788896173747521,0.001018514918841417
S4b_identifiable,D,max_rel_ci_pct,observed,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,observed,2,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,observed,3,40,40,40,0,253.5798365188408,76.69055443229054,10000.0,123.93652095271369,1033.7525836478421
S4b_identifiable,D,max_rel_ci_pct,observed,4,40,40,40,0,186.93827201518982,60.46320235012136,10000.0,72.58004685978169,530.4375359981362
S4b_identifiable,D,max_rel_ci_pct,observed,5,40,40,40,0,77.98641626438868,40.140746293928196,10000.0,53.02258506473785,146.4602248584509
S4b_identifiable,D,max_rel_ci_pct,observed,6,40,40,40,0,69.49838604636852,43.576976105837915,177.18524030083455,52.92766188204871,116.90208445809344
S4b_identifiable,D,max_rel_ci_pct,observed,7,40,40,40,0,75.95081710608099,35.11890412076453,218.6397688400254,46.505907700279565,118.96736756523998
