scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S4c_out_of_domain,F,param_err_pct,locf,1,40,40,40,0,77.56410579545417,46.85985600243096,313.72153303546133,60.7664040234495,300.2085648671648
S4c_out_of_domain,F,param_err_pct,locf,2,40,38,40,2,120.53443995188212,87.52111170007166,179.41576794380103,106.35743537768461,173.38340622741805
S4c_out_of_domain,F,param_err_pct,locf,3,40,38,40,2,142.47200791635748,129.76015550204494,149.11676512623544,135.1796156442685,146.62096513488908
S4c_out_of_domain,F,param_err_pct,locf,4,40,38,40,2,148.0062995449233,142.7547277980993,155.0005374826765,145.842372723,152.1195964839072
S4c_out_of_domain,F,param_err_pct,locf,5,40,38,40,2,151.95762991359868,146.89690132278068,155.27170301957725,149.64163233179258,153.90774507384708
S4c_out_of_domain,F,param_err_pct,locf,6,40,38,40,2,149.2604020808429,146.14925991695645,152.42992702148004,147.4663712903577,151.68588589941567
S4c_out_of_domain,F,param_err_pct,locf,7,40,38,40,2,149.78617845459513,144.87392308392955,153.20629786135822,146.53335180547134,151.53878973590338
S4c_out_of_domain,F,param_err_pct,locf,8,40,38,40,2,148.57240215660062,146.7486481089032,152.41522071136774,147.49768681841766,151.37434289586093
S4c_out_of_domain,F,blind_rmse_M,locf,1,40,40,40,0,0.184787108548191,0.17743338984221918,0.1892558260172903,0.18178722256041624,0.18689474160142236
S4c_out_of_domain,F,blind_rmse_M,locf,2,40,38,40,2,0.11146817226767206,0.04023176963843296,0.11567952772661053,0.042322833718553346,0.1139112975690434
S4c_out_of_domain,F,blind_rmse_M,locf,3,40,38,40,2,0.03227280428333328,0.023849204028307584,0.035441691738381416,0.030329538532047923,0.03345792392472297
S4c_out_of_domain,F,blind_rmse_M,locf,4,40,38,40,2,0.03582176259260671,0.034159563897802406,0.03658195779314517,0.03510435876737937,0.03645943782333365
S4c_out_of_domain,F,blind_rmse_M,locf,5,40,38,40,2,0.03614130947134457,0.03566281799646071,0.03710164718556205,0.03585826094806803,0.036438467926907185
S4c_out_of_domain,F,blind_rmse_M,locf,6,40,38,40,2,0.036069584288183534,0.03563286472487588,0.036668377553601104,0.03578646423776322,0.0363817162522762
S4c_out_of_domain,F,blind_rmse_M,locf,7,40,38,40,2,0.0359769835210597,0.03561325576869968,0.036431476732825645,0.035775653609754605,0.03625331731870867
S4c_out_of_domain,F,blind_rmse_M,locf,8,40,38,40,2,0.035964304347381154,0.03563564082627313,0.036571975119491694,0.035703760093869844,0.03640394064663246
S4c_out_of_domain,F,max_rel_ci_pct,locf,1,40,40,40,0,761.306370041834,761.30636903906,1683.4755333007772,761.3063699015328,1080.4075707846246
S4c_out_of_domain,F,max_rel_ci_pct,locf,2,40,38,40,2,959.3998540250378,668.239738850753,1181.0750377662198,765.0029433258554,1147.5028272446987
S4c_out_of_domain,F,max_rel_ci_pct,locf,3,40,38,40,2,218.2734634066084,134.95588964765813,324.622970739596,166.66625180191755,258.1588718258665
S4c_out_of_domain,F,max_rel_ci_pct,locf,4,40,38,40,2,100.64433338689845,68.60573249184561,159.43901474702045,73.33626958271672,122.73967102298877
S4c_out_of_domain,F,max_rel_ci_pct,locf,5,40,38,40,2,49.397034760236856,37.91527817961093,61.56954740135232,39.349760821694844,58.24676155394025
S4c_out_of_domain,F,max_rel_ci_pct,locf,6,40,38,40,2,38.57643025349987,31.6359051464089,52.832491828904345,34.778454484174844,46.8856578545186
S4c_out_of_domain,F,max_rel_ci_pct,locf,7,40,38,40,2,33.3052550382823,28.143932375879167,40.94008658008926,30.8852885448903,38.95530382841176
S4c_out_of_domain,F,max_rel_ci_pct,locf,8,40,38,40,2,27.423768140904258,26.118140556796767,32.81956611821652,26.980981665634353,31.249001872804794
S4c_out_of_domain,F,p_correct,locf,1,40,40,40,0,0.49960239998294786,0.496784659026988,0.5010231292035776,0.497677312962272,0.5005705305890329
S4c_out_of_domain,F,p_correct,locf,2,40,38,40,2,0.5468284622614419,0.5109228885189443,1.0,0.5183381549499704,0.9999976059631059
S4c_out_of_domain,F,p_correct,locf,3,40,38,40,2,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,locf,4,40,38,40,2,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,locf,5,40,38,40,2,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,locf,6,40,38,40,2,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,locf,7,40,38,40,2,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,locf,8,40,38,40,2,1.0,1.0,1.0,1.0,1.0
