scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S4c_out_of_domain,F,param_err_pct,observed,1,40,40,40,0,77.56410579545417,46.85985600243096,313.72153303546133,61.00860609053397,300.2085648671648
S4c_out_of_domain,F,param_err_pct,observed,2,40,38,38,2,121.35097685286689,101.11019317337527,179.58591210756236,109.02311317408024,174.50509451438805
S4c_out_of_domain,F,param_err_pct,observed,3,40,38,38,2,143.33378287175952,131.08865696262336,149.47646378294655,136.42438737686376,147.18971044065069
S4c_out_of_domain,F,param_err_pct,observed,4,40,38,38,2,148.73265637958434,143.29299306898943,155.15335276351,146.31801627018635,152.60591634224903
S4c_out_of_domain,F,param_err_pct,observed,5,40,38,38,2,152.12868626082673,148.5122263196532,155.39967631314477,149.71456855264913,154.2662690783597
S4c_out_of_domain,F,param_err_pct,observed,6,40,38,38,2,149.43663149874743,146.8857325704261,152.54991804525844,148.14444165339629,152.09129020080448
S4c_out_of_domain,F,param_err_pct,observed,7,40,38,38,2,150.07958835358608,145.2028677801693,153.325221488345,146.77032758718312,151.81933762702624
S4c_out_of_domain,F,param_err_pct,observed,8,40,38,38,2,149.19628608610822,146.89712225288744,152.55230496477057,148.0059060012997,151.59649270021012
S4c_out_of_domain,F,blind_rmse_M,observed,1,40,40,40,0,0.184787108548191,0.17743338984221918,0.1892558260172903,0.18152440533045427,0.18689789465444792
S4c_out_of_domain,F,blind_rmse_M,observed,2,40,38,38,2,0.10801436043006427,0.040051370160566306,0.11492103091211464,0.041260003486488256,0.11346976817709786
S4c_out_of_domain,F,blind_rmse_M,observed,3,40,38,38,2,0.03184633318238349,0.023125568151258935,0.034580576167190284,0.030170653395728848,0.03310185108314315
S4c_out_of_domain,F,blind_rmse_M,observed,4,40,38,38,2,0.03568446392719106,0.033868096941332686,0.036515757643513266,0.035012428483059854,0.03642239765149848
S4c_out_of_domain,F,blind_rmse_M,observed,5,40,38,38,2,0.0360856083519478,0.035606085022523035,0.03682134107484471,0.035835926877635406,0.03630373842049643
S4c_out_of_domain,F,blind_rmse_M,observed,6,40,38,38,2,0.03600864390015836,0.035629160114240714,0.03650348290975303,0.03576678968381358,0.036349349664812694
S4c_out_of_domain,F,blind_rmse_M,observed,7,40,38,38,2,0.035930707213212384,0.03559052513421019,0.0363746255630805,0.03574704738633731,0.03614705258145244
S4c_out_of_domain,F,blind_rmse_M,observed,8,40,38,38,2,0.03589439831806547,0.035635270186379985,0.03653614147715344,0.03566926955338663,0.036260213815145104
S4c_out_of_domain,F,max_rel_ci_pct,observed,1,40,40,40,0,761.306370041834,761.30636903906,1683.4755333007772,761.3063699014485,1080.4075707846246
S4c_out_of_domain,F,max_rel_ci_pct,observed,2,40,38,38,2,959.3998540250378,714.7277023707983,1176.097860159101,765.1468696687759,1144.9952577240313
S4c_out_of_domain,F,max_rel_ci_pct,observed,3,40,38,38,2,217.50610085898273,133.32422495975462,300.0609627816706,146.3466015692029,227.7076816251791
S4c_out_of_domain,F,max_rel_ci_pct,observed,4,40,38,38,2,92.61621510662576,68.5286317714896,141.21394122416274,72.80670466265246,121.3056964067774
S4c_out_of_domain,F,max_rel_ci_pct,observed,5,40,38,38,2,48.351060570247014,37.760061613526524,60.77435429102351,39.30000607477033,54.416370942563205
S4c_out_of_domain,F,max_rel_ci_pct,observed,6,40,38,38,2,37.98428070746481,31.350640928411227,49.30216301789139,32.91737605910896,45.20952376764762
S4c_out_of_domain,F,max_rel_ci_pct,observed,7,40,38,38,2,32.69258305004324,28.07513926421755,40.51633065577713,30.396844285161848,38.52902631800421
S4c_out_of_domain,F,max_rel_ci_pct,observed,8,40,38,38,2,27.290406906129903,25.767998567105554,32.428784036660446,26.706343576355987,30.31501246400199
S4c_out_of_domain,F,p_correct,observed,1,40,40,40,0,0.49960239998294786,0.496784659026988,0.5010231292035776,0.497677312962272,0.5005136036956942
S4c_out_of_domain,F,p_correct,observed,2,40,38,38,2,0.5857157944145417,0.5130011699742278,1.0,0.5222091885793481,0.9999999999999933
S4c_out_of_domain,F,p_correct,observed,3,40,38,38,2,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,observed,4,40,38,38,2,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,observed,5,40,38,38,2,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,observed,6,40,38,38,2,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,observed,7,40,38,38,2,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,observed,8,40,38,38,2,1.0,1.0,1.0,1.0,1.0
