scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S6_resources,D,param_err_pct,observed,1,40,40,40,0,344.40372718322106,266.37515680389345,382.8884893419174,294.6197107873014,369.8842568734708
S6_resources,D,param_err_pct,observed,2,40,40,40,0,193.75137947374265,141.88582905089666,261.3672890521253,164.73077861706736,243.23506165772505
S6_resources,D,param_err_pct,observed,3,40,40,40,0,24.324270160988014,13.233532567834743,42.76482932745526,18.571331565034928,39.30684567118483
S6_resources,D,param_err_pct,observed,4,40,40,40,0,21.607877644909202,11.297679106449621,39.53064633193952,14.243161865990617,30.634626575809488
S6_resources,D,param_err_pct,observed,5,40,40,40,0,17.495896876364235,10.212937334945547,39.386286968585054,12.905067223596964,25.074169673073133
S6_resources,D,param_err_pct,observed,6,40,40,40,0,16.83536543200629,9.317473099996509,30.022886227413103,13.10538963057729,24.182190739969368
S6_resources,D,param_err_pct,observed,7,40,40,40,0,17.848937150730816,8.644082938877613,35.1243519720466,11.727463824598727,24.34224985491784
S6_resources,D,param_err_pct,observed,8,40,40,40,0,14.676349744236628,7.668132909369618,25.732905082255474,10.216480338913325,21.139364292670095
S6_resources,F,param_err_pct,observed,1,40,40,40,0,76.79468896407845,55.56761046132882,92.35524048158217,67.09302402796175,86.0685978968067
S6_resources,F,param_err_pct,observed,2,40,40,40,0,45.78464316949096,28.690408658163136,72.052350512834,35.277421044850165,58.54918951445801
S6_resources,F,param_err_pct,observed,3,40,40,40,0,13.964013401148446,7.950987589088393,26.04936257252508,9.262492858149962,20.146346091506793
S6_resources,F,param_err_pct,observed,4,40,40,40,0,12.396506645937366,6.171977383850202,17.532444706474287,7.836446079203164,14.56746289247889
S6_resources,F,param_err_pct,observed,5,40,39,39,1,9.633170157109138,5.488888214302401,19.76453921213538,6.689856543586314,15.326840928799989
S6_resources,F,param_err_pct,observed,6,40,38,38,2,10.396976646379752,5.828130897742162,20.753938824324397,7.041711685881092,16.14917219684333
S6_resources,F,param_err_pct,observed,7,40,37,37,3,10.401760128343662,5.481567190188796,23.252199780126205,7.172054259314309,17.46966151313316
S6_resources,F,param_err_pct,observed,8,40,37,37,3,9.04030518510055,6.0023675803162035,20.441582248999968,7.065925760988301,15.283791696970939
S6_resources,F-res-0.5x,param_err_pct,observed,1,40,40,40,0,76.79468896407845,55.56761046132882,92.35524048158217,67.09302402796175,86.0685978968067
S6_resources,F-res-0.5x,param_err_pct,observed,2,40,40,40,0,32.75807319194168,20.27134897799324,50.988740243677455,25.165579172260685,44.88874324597154
S6_resources,F-res-0.5x,param_err_pct,observed,3,40,40,40,0,18.818926980919258,9.57689321755646,27.547490816611408,13.446588391894288,23.402524443489757
S6_resources,F-res-0.5x,param_err_pct,observed,4,40,40,40,0,18.84149995612929,8.548285388576925,26.3272201940254,14.06559203166804,23.25740357049201
S6_resources,F-res-0.5x,param_err_pct,observed,5,40,40,40,0,16.703645571084067,8.174761739882364,23.86909851907339,13.00056597433562,21.39885685665687
S6_resources,F-res-0.5x,param_err_pct,observed,6,40,39,39,1,15.998355455778391,7.664080006509222,25.75532768921358,10.390587389517215,20.500553500690224
S6_resources,F-res-0.5x,param_err_pct,observed,7,40,39,39,1,16.17692053996067,7.384569795791784,26.251921418830005,10.15230824672666,20.463800714230395
S6_resources,F-res-0.5x,param_err_pct,observed,8,40,39,39,1,15.3096352377883,6.816421506340575,22.475198504225713,10.105021583738672,20.42689044527597
S6_resources,F-res-1x,param_err_pct,observed,1,40,40,40,0,76.79468896407845,55.56761046132882,92.35524048158217,67.60934680935797,86.0685978968067
S6_resources,F-res-1x,param_err_pct,observed,2,40,40,40,0,34.229029174803394,23.413745872498144,45.45864486612049,28.205163429955448,40.64279401863776
S6_resources,F-res-1x,param_err_pct,observed,3,40,40,40,0,11.901169559404057,7.212086470684731,22.624223109507703,9.317631739441945,18.375714144717527
S6_resources,F-res-1x,param_err_pct,observed,4,40,40,40,0,12.688759606876065,7.6120512069850435,24.839313589710763,9.169420133215045,19.539266192449556
S6_resources,F-res-1x,param_err_pct,observed,5,40,39,39,1,10.426414303060284,6.130650851961839,22.102592205777782,8.371778086687343,18.33932825215292
S6_resources,F-res-1x,param_err_pct,observed,6,40,39,39,1,8.689364512102982,5.2293656041990655,24.006482145869047,7.082278262737884,14.691363273942958
S6_resources,F-res-1x,param_err_pct,observed,7,40,39,39,1,10.019592466598182,5.964135736284504,22.161792066916508,7.356691327818954,12.656093314249905
S6_resources,F-res-1x,param_err_pct,observed,8,40,38,38,2,9.698425926381095,6.305948956684454,21.77796717257572,7.710454766383668,13.728143928514358
S6_resources,F-res-2x,param_err_pct,observed,1,40,40,40,0,76.79468896407845,55.56761046132882,92.35524048158217,67.09302402796175,86.0685978968067
S6_resources,F-res-2x,param_err_pct,observed,2,40,40,40,0,32.34441060290462,21.19501721803447,42.333732185624896,28.52886911564233,37.33838987825666
S6_resources,F-res-2x,param_err_pct,observed,3,40,39,39,1,32.79910915921575,27.446253849553592,39.771896271956905,28.99801012380543,37.214729001490944
S6_resources,F-res-2x,param_err_pct,observed,4,40,39,39,1,31.8227902041738,26.414194354486973,38.35587478121471,27.877489877725804,36.12841198339114
S6_resources,F-res-2x,param_err_pct,observed,5,40,39,39,1,30.97500781478346,25.52055708735177,37.727805715977254,27.53290102926904,34.9936967009967
S6_resources,F-res-2x,param_err_pct,observed,6,40,39,39,1,31.119966873382833,26.334461532206056,36.90953007360825,27.478888083211483,34.904258750469566
S6_resources,F-res-2x,param_err_pct,observed,7,40,39,39,1,31.004424174697952,26.373869349720014,37.20305633843937,27.623463644146675,35.9045606346174
S6_resources,F-res-2x,param_err_pct,observed,8,40,39,39,1,31.015565825298097,26.388585400178968,37.71912362116152,27.649867843476315,35.70594535182552
S6_resources,F-res-4x,param_err_pct,observed,1,40,40,40,0,76.79468896407845,55.56761046132882,92.35524048158217,67.09302402796175,85.37993084230197
S6_resources,F-res-4x,param_err_pct,observed,2,40,40,40,0,32.5604228102838,30.315618297118313,36.45703255418015,31.845375385325358,33.76108393834386
S6_resources,F-res-4x,param_err_pct,observed,3,40,40,40,0,31.061903809700198,28.961081144545105,35.3644595011969,29.39064763777103,32.39535580360227
S6_resources,F-res-4x,param_err_pct,observed,4,40,40,40,0,31.058257372143284,28.90927234373686,36.05269427681766,29.595274631809193,33.68594180218136
S6_resources,F-res-4x,param_err_pct,observed,5,40,40,40,0,31.10126440454951,28.67741361657481,35.935865993086274,29.019136627155696,33.60018223519711
S6_resources,F-res-4x,param_err_pct,observed,6,40,40,40,0,30.033393426731017,27.668019974472774,36.01343908036187,28.680445270283307,32.67189559590163
S6_resources,F-res-4x,param_err_pct,observed,7,40,40,40,0,30.574697805861263,26.366492993726524,35.23620587542113,28.59098804696597,32.81061836575596
S6_resources,F-res-4x,param_err_pct,observed,8,40,40,40,0,30.920282224710927,25.949394316089258,35.354393311139575,28.291807860887698,33.038079114306754
S6_resources,D,blind_rmse_M,observed,1,40,40,40,0,0.1445001186132081,0.12774567338918671,0.15419556662502254,0.13527342097239398,0.15049757018582458
S6_resources,D,blind_rmse_M,observed,2,40,40,40,0,0.030496565485110996,0.025556180835538025,0.04744077252767125,0.02715453870233602,0.04567023114690681
S6_resources,D,blind_rmse_M,observed,3,40,40,40,0,0.004578937412058538,0.0033586980053206946,0.006507576221925794,0.00385168228711104,0.005445266220475937
S6_resources,D,blind_rmse_M,observed,4,40,40,40,0,0.0034228433400307124,0.002485829143707855,0.005280083106045588,0.002978580250139716,0.004254020989961524
S6_resources,D,blind_rmse_M,observed,5,40,40,40,0,0.0035184177350613775,0.002307774686605644,0.0048060745486368205,0.002945024147101898,0.004316442203045589
S6_resources,D,blind_rmse_M,observed,6,40,40,40,0,0.0034342923153226706,0.002261923472889827,0.004464405039878966,0.002899001916529061,0.004154724592903784
S6_resources,D,blind_rmse_M,observed,7,40,40,40,0,0.003685405897010624,0.0022359876160589877,0.004770761805274713,0.003053201022845575,0.004092831340474201
S6_resources,D,blind_rmse_M,observed,8,40,40,40,0,0.003388665683971426,0.0021429622616318915,0.004336521336035935,0.0023813879103536098,0.0039016075449089197
S6_resources,F,blind_rmse_M,observed,1,40,40,40,0,0.09581450699004482,0.08818846844820825,0.10174341692886563,0.09144838983170397,0.10007320424901395
S6_resources,F,blind_rmse_M,observed,2,40,40,40,0,0.013322832695101705,0.011884212728611386,0.01632803913126469,0.01230190795423844,0.015529802343690943
S6_resources,F,blind_rmse_M,observed,3,40,40,40,0,0.0014414465445168208,0.0009499573113619983,0.0018436167072161437,0.0011685057252229611,0.0015488482370924657
S6_resources,F,blind_rmse_M,observed,4,40,40,40,0,0.0009569529495481493,0.0008200259639895817,0.0012785187568275938,0.0008526435820937734,0.0011557374616065806
S6_resources,F,blind_rmse_M,observed,5,40,39,39,1,0.0009250110982959033,0.0007364720080192226,0.0011552091300331049,0.0008338118747914572,0.0010855151372771914
S6_resources,F,blind_rmse_M,observed,6,40,38,38,2,0.0008971798992713295,0.0007091471011753653,0.0012034132151512976,0.000770514982324503,0.000998783634552425
S6_resources,F,blind_rmse_M,observed,7,40,37,37,3,0.0008550559078278056,0.0006712972503266445,0.0011881497746862534,0.000771214344243578,0.0011186896359910584
S6_resources,F,blind_rmse_M,observed,8,40,37,37,3,0.0008032038657542537,0.0006778135657821562,0.001173543788695834,0.0007193524209932732,0.001109024119367104
S6_resources,F-res-0.5x,blind_rmse_M,observed,1,40,40,40,0,0.09581450699004482,0.08818846844820825,0.10174341692886563,0.09178337371994505,0.09996849424052569
S6_resources,F-res-0.5x,blind_rmse_M,observed,2,40,40,40,0,0.019257838634940596,0.015548882838953611,0.026183952593396575,0.017273639187823712,0.023992239341094544
S6_resources,F-res-0.5x,blind_rmse_M,observed,3,40,40,40,0,0.002037454223111897,0.001361111079690083,0.0025838663279869794,0.0016788019325385019,0.0023148872397089387
S6_resources,F-res-0.5x,blind_rmse_M,observed,4,40,40,40,0,0.0019035025054335098,0.0013731557707448248,0.002498447304409286,0.0015750953241744723,0.0022187672766601704
S6_resources,F-res-0.5x,blind_rmse_M,observed,5,40,40,40,0,0.0017964895095793024,0.0011792137080777752,0.002543417941080283,0.0014190250236140439,0.0021534167260064134
S6_resources,F-res-0.5x,blind_rmse_M,observed,6,40,39,39,1,0.0016406931966304222,0.001130611675052582,0.002243189378637063,0.0012874631248911326,0.0021073064986420038
S6_resources,F-res-0.5x,blind_rmse_M,observed,7,40,39,39,1,0.0016337539508195535,0.001086590832186706,0.002185404156963142,0.0013144481585501341,0.0020817959846692736
S6_resources,F-res-0.5x,blind_rmse_M,observed,8,40,39,39,1,0.0015803976558466473,0.0010162786046310668,0.0020697280687971137,0.001110490062658653,0.0018077655568932431
S6_resources,F-res-1x,blind_rmse_M,observed,1,40,40,40,0,0.09581450699004482,0.08818846844820825,0.10174341692886563,0.09144838983170397,0.10007320424901395
