scenario,strategy,resource_axis,resource,median,q25,q75
S3ab_delay,D,egda_mol,0.02105973355292326,354.83036218802044,238.89305373036083,392.18849090977847
S3ab_delay,D,egda_mol,0.027415715525933297,344.82909937688817,238.6999182503941,384.5476195315672
S3ab_delay,D,egda_mol,0.033771697498943334,332.0644736187666,238.50678277042735,371.7342226703963
S3ab_delay,D,egda_mol,0.04012767947195338,324.05165745721376,234.8264310097573,369.28685383249785
S3ab_delay,D,egda_mol,0.046483661444963416,278.08691378173535,228.29038978308327,362.7650323144536
S3ab_delay,D,egda_mol,0.05283964341797345,252.8201554728676,217.24305396111566,351.07125844274657
S3ab_delay,D,egda_mol,0.0591956253909835,252.78079120161476,196.01298312343437,343.9431038081635
S3ab_delay,D,egda_mol,0.06555160736399354,245.04530289702495,174.00570784315687,342.17780502348774
S3ab_delay,D,egda_mol,0.07190758933700357,244.99898144946727,169.09194206869392,337.09463355816933
S3ab_delay,D,egda_mol,0.0782635713100136,244.1578862462742,166.7921012147771,327.15265835930916
S3ab_delay,D,egda_mol,0.08461955328302365,237.83232425913383,142.23817570202735,321.9610730385267
S3ab_delay,D,egda_mol,0.09097553525603369,236.49225271687348,121.93891148289066,320.775312866526
S3ab_delay,D,egda_mol,0.09733151722904373,236.34883394814608,113.07776322463528,319.58955269452537
S3ab_delay,D,egda_mol,0.10368749920205377,234.79162750443018,106.72613137553952,318.40379252252467
S3ab_delay,D,egda_mol,0.11004348117506381,229.9676063836277,102.26041782611136,317.21803235052397
S3ab_delay,D,egda_mol,0.11639946314807384,224.29996878437447,97.09216331295993,316.03227217852327
S3ab_delay,D,egda_mol,0.12275544512108388,218.17149254088383,91.51661045566165,314.84651200652263
S3ab_delay,D,egda_mol,0.12911142709409393,213.82993283967227,85.94105759836339,313.66075183452193
S3ab_delay,D,egda_mol,0.13546740906710397,214.52747166059152,80.36550474106512,312.47499166252123
S3ab_delay,D,egda_mol,0.141823391040114,215.2250104815107,74.78995188376689,311.2892314905206
S3ab_delay,D,egda_mol,0.14817937301312403,215.92254930242996,69.21439902646861,310.1034713185199
S3ab_delay,D,egda_mol,0.15453535498613408,216.62008812334918,63.63884616917035,308.9177111465192
S3ab_delay,D,egda_mol,0.16089133695914412,217.3176269442684,58.06329331187209,307.73195097451855
S3ab_delay,D,egda_mol,0.16724731893215417,218.01516576518765,53.58897186633976,306.54619080251786
S3ab_delay,D,egda_mol,0.1736033009051642,218.7127045861069,49.863805740297366,305.36043063051716
S3ab_delay,D,egda_mol,0.17995928287817423,216.94726969884954,46.24863410343852,304.1746704585165
S3ab_delay,D,egda_mol,0.18631526485118427,202.13375643747364,42.417492866105505,302.9889102865158
S3ab_delay,D,egda_mol,0.19267124682419431,190.07169485702875,40.0512174233141,301.8031501145151
S3ab_delay,D,egda_mol,0.19902722879720436,190.0713809026892,37.06565260961517,300.6173899425144
S3ab_delay,D,egda_mol,0.2053832107702144,190.0710669483497,34.47677228033016,299.4316297705137
S3ab_delay,D,egda_mol,0.21173919274322442,189.68196959608207,30.58638120964485,298.2458695985131
S3ab_delay,D,egda_mol,0.21809517471623446,188.42418631708722,26.232931162709427,297.0601094265124
S3ab_delay,D,egda_mol,0.2244511566892445,187.16640303809237,21.8915530357379,295.54015641370006
S3ab_delay,D,egda_mol,0.23080713866225455,185.90861975909752,21.797075173274976,294.01250290806706
S3ab_delay,D,egda_mol,0.2371631206352646,184.65083648010267,16.50568512506117,292.4848494024342
S3ab_delay,D,egda_mol,0.2435191026082746,183.39305320110785,15.985274243850405,290.9571958968013
S3ab_delay,D,egda_mol,0.24987508458128466,182.13526992211297,15.542175666811016,289.42954239116835
S3ab_delay,D,egda_mol,0.25623106655429473,180.87748664311815,15.532825738059922,287.9018888855354
S3ab_delay,D,egda_mol,0.26258704852730474,179.61970336412332,15.30660148516468,286.37423537990253
S3ab_delay,D,egda_mol,0.26894303050031476,178.36192008512847,14.855095361322167,284.84658187426965
S3ab_delay,D,egda_mol,0.2752990124733248,177.10413680613362,14.036904575934356,283.3189283686367
S3ab_delay,D,egda_mol,0.2816549944463349,175.84635352713877,14.223805873112692,281.79127486300376
S3ab_delay,D,egda_mol,0.2880109764193449,174.5885702481439,14.245870745808555,280.2636213573709
S3ab_delay,D,egda_mol,0.29436695839235494,173.33078696914907,14.223340036495951,278.735967851738
S3ab_delay,D,egda_mol,0.30072294036536495,172.07300369015422,14.170092804034715,277.20831434610506
S3ab_delay,D,egda_mol,0.30707892233837497,170.81522041115937,14.109910999893213,275.6806608404721
S3ab_delay,D,egda_mol,0.3134349043113851,169.55743713216452,14.049729195751711,274.15300733483923
S3ab_delay,D,egda_mol,0.3197908862843951,168.29965385316967,13.989547391610209,272.52552099841705
S3ab_delay,D,egda_mol,0.32614686825740513,167.04187057417482,13.929365587468707,270.7477837611241
S3ab_delay,D,egda_mol,0.33250285023041515,165.78408729518,13.869183783327205,268.97004652383123
S3ab_delay,D,egda_mol,0.33885883220342516,164.52630401618518,13.809001979185705,267.19230928653826
S3ab_delay,D,egda_mol,0.3452148141764353,163.2685207371903,13.748820175044202,265.4145720492453
S3ab_delay,D,egda_mol,0.3515707961494453,162.01073745819545,13.754596719965985,263.6368348119523
S3ab_delay,D,egda_mol,0.3579267781224553,160.75295417920063,13.912450934399809,261.8590975746594
S3ab_delay,D,egda_mol,0.36428276009546534,159.49517090020578,14.271210170583672,260.92908800848676
S3ab_delay,D,egda_mol,0.37063874206847536,158.23738762121093,14.629969406767534,260.5379578725986
S3ab_delay,D,egda_mol,0.3769947240414855,156.97960434221608,14.988728642951404,260.1468277367105
S3ab_delay,D,egda_mol,0.3833507060144955,155.72182106322123,15.347487879135267,259.7556976008224
S3ab_delay,D,egda_mol,0.3897066879875055,154.46403778422638,15.706247115319128,258.6237085042586
S3ab_delay,D,egda_mol,0.39606266996051553,153.20625450523153,16.06500635150299,257.1498995044128
S3ab_delay,F,egda_mol,0.02651098355292325,73.34365148722438,55.41385008517322,87.98378080871122
S3ab_delay,F,egda_mol,0.03356759857305888,73.19478710103817,53.65912162391942,88.0925260853389
S3ab_delay,F,egda_mol,0.04062421359319451,73.43067203673743,52.189022125546344,88.26126799469111
S3ab_delay,F,egda_mol,0.04768082861333013,73.64119869038245,51.549579475941556,88.2367506867664
S3ab_delay,F,egda_mol,0.05473744363346576,73.7263986419635,51.15094688318182,88.15566218664074
S3ab_delay,F,egda_mol,0.061794058653601394,73.81159859354453,50.75231429042207,87.93836084832996
S3ab_delay,F,egda_mol,0.06885067367373701,73.89679854512556,50.35368169766233,87.69317571795196
S3ab_delay,F,egda_mol,0.07590728869387264,73.6739841683376,49.95504910490259,87.44799058757394
S3ab_delay,F,egda_mol,0.08296390371400827,73.22905434051529,48.34123330139816,87.20280545719592
S3ab_delay,F,egda_mol,0.0900205187341439,72.78412451269297,47.32301090068965,86.95762032681792
S3ab_delay,F,egda_mol,0.09707713375427954,72.33919468487066,46.87121260237427,86.72077271415866
S3ab_delay,F,egda_mol,0.10413374877441516,71.89426485704834,46.446808489195625,86.5209602418418
S3ab_delay,F,egda_mol,0.11119036379455079,71.44933502922603,46.02240437601698,86.34104616703486
S3ab_delay,F,egda_mol,0.11824697881468642,71.00440520140373,45.59800026283834,86.16113209222792
S3ab_delay,F,egda_mol,0.12530359383482204,70.55947537358142,45.17359614965969,86.06857597458958
S3ab_delay,F,egda_mol,0.13236020885495767,70.11454554575911,44.309557067743526,85.79523481902532
S3ab_delay,F,egda_mol,0.1394168238750933,69.6696157179368,43.562515347239874,85.62138986780708
S3ab_delay,F,egda_mol,0.14647343889522893,69.22468589011449,43.23723863948967,85.44147579300014
S3ab_delay,F,egda_mol,0.15353005391536456,68.77975606229217,42.91196193173946,85.26156171819319
S3ab_delay,F,egda_mol,0.1605866689355002,68.33482623446986,42.58668522398926,85.08164764338625
S3ab_delay,F,egda_mol,0.16764328395563582,68.07880727061402,42.261408516239044,84.9017335685793
S3ab_delay,F,egda_mol,0.17469989897577143,67.87249749140044,41.936131808488845,84.92171731005108
S3ab_delay,F,egda_mol,0.18175651399590706,67.66618771218687,41.57091577023424,85.40780122227174
S3ab_delay,F,egda_mol,0.1888131290160427,67.45987793297328,41.163783154052574,85.55651133424762
S3ab_delay,F,egda_mol,0.19586974403617832,67.25356815375972,40.75665053787091,84.18207726935154
S3ab_delay,F,egda_mol,0.20292635905631395,65.11995939268871,40.34951792168924,84.00216319454458
S3ab_delay,F,egda_mol,0.20998297407644959,64.94843591385235,39.844136575899626,83.16091978478453
S3ab_delay,F,egda_mol,0.21703958909658522,64.77691243501599,39.50009310910954,81.24079961728557
S3ab_delay,F,egda_mol,0.22409620411672082,64.60538895617961,39.21515716931853,80.91725163588072
S3ab_delay,F,egda_mol,0.23115281913685645,64.01438139979504,38.94324111954192,80.59370365447587
S3ab_delay,F,egda_mol,0.23820943415699208,61.68723064845305,38.69354806532937,80.27015567307102
S3ab_delay,F,egda_mol,0.24526604917712772,61.27708712100795,38.46840298660226,79.94660769166616
S3ab_delay,F,egda_mol,0.25232266419726335,60.86694359356285,38.24325790787515,79.62305971026132
S3ab_delay,F,egda_mol,0.259379279217399,60.456800066117744,38.10224601237445,79.29951172885646
S3ab_delay,F,egda_mol,0.2664358942375346,60.046656538672636,37.92439761455284,78.97596374745162
S3ab_delay,F,egda_mol,0.2734925092576702,59.636513011227535,37.696848854551156,78.65241576604676
S3ab_delay,F,egda_mol,0.2805491242778059,59.226369483782435,37.46948960458201,78.3288677846419
S3ab_delay,F,egda_mol,0.2876057392979415,58.81622595633733,37.24213035461287,78.00531980323706
S3ab_delay,F,egda_mol,0.29466235431807714,58.40608242889222,37.01477110464372,77.6817718218322
S3ab_delay,F,egda_mol,0.30171896933821274,57.99593890144712,36.82651103578581,77.35822384042736
S3ab_delay,F,egda_mol,0.3087755843583484,57.58579537400202,36.6557120537642,77.0346758590225
S3ab_delay,F,egda_mol,0.315832199378484,57.17565184655691,36.48491307174258,76.73918728277502
S3ab_delay,F,egda_mol,0.3228888143986196,56.76550831911181,36.34096355216015,76.69590978743962
S3ab_delay,F,egda_mol,0.32994542941875526,56.3553647916667,36.252549794840164,76.65263229210423
S3ab_delay,F,egda_mol,0.33700204443889087,55.9452212642216,36.164136037520194,76.60935479676883
S3ab_delay,F,egda_mol,0.34405865945902653,55.5350777367765,35.87914083230032,76.56607730143342
S3ab_delay,F,egda_mol,0.35111527447916213,55.1249342093314,35.540432694944755,76.52279980609802
S3ab_delay,F,egda_mol,0.3581718894992978,54.714790681886285,35.22772911028918,76.46014313541572
S3ab_delay,F,egda_mol,0.3652285045194334,54.304647154441184,34.9734986682557,76.39083176491596
S3ab_delay,F,egda_mol,0.372285119539569,53.894503626996084,34.719268226222226,76.3215203944162
S3ab_delay,F,egda_mol,0.37934173455970466,53.48436009955098,34.46503778418874,76.25220902391644
S3ab_delay,F,egda_mol,0.38639834957984026,53.07421657210588,34.21080734215526,76.18289765341669
S3ab_delay,F,egda_mol,0.3934549645999759,52.66407304466077,33.956576900121775,76.11358628291693
S3ab_delay,F,egda_mol,0.4005115796201115,52.25392951721567,33.7023464580883,76.04427491241717
S3ab_delay,F,egda_mol,0.4075681946402472,51.843785989770566,33.44811601605482,75.9749635419174
S3ab_delay,F,egda_mol,0.4146248096603828,51.433642462325466,33.19388557402133,75.90565217141764
S3ab_delay,F,egda_mol,0.4216814246805184,51.023498934880365,32.976572686114324,75.8363408009179
S3ab_delay,F,egda_mol,0.42873803970065405,50.61335540743525,32.79227275187133,75.76702943041813
S3ab_delay,F,egda_mol,0.43579465472078965,50.20321187999015,32.60797281762833,75.62384608794365
S3ab_delay,F,egda_mol,0.4428512697409253,49.72359717477113,32.423672883385336,75.39398282742906
