scenario,strategy,model,round,median_probability,n_seeds
S4a_ambiguity,F,irreversible,1,0.33328187709226426,40
S4a_ambiguity,F,irreversible,2,2.7034436429495924e-13,40
S4a_ambiguity,F,irreversible,3,0.0,40
S4a_ambiguity,F,irreversible,4,0.0,40
S4a_ambiguity,F,irreversible,5,0.0,39
S4a_ambiguity,F,irreversible,6,0.0,39
S4a_ambiguity,F,irreversible,7,0.0,39
S4a_ambiguity,F,irreversible,8,0.0,38
S4a_ambiguity,F,irreversible,9,0.0,38
S4a_ambiguity,F,irreversible,10,0.0,37
S4a_ambiguity,F,rev-dilute,1,0.33391176442757897,40
S4a_ambiguity,F,rev-dilute,2,0.4969460554141868,40
S4a_ambiguity,F,rev-dilute,3,0.8360535135425526,40
S4a_ambiguity,F,rev-dilute,4,0.6880987507508798,40
S4a_ambiguity,F,rev-dilute,5,0.4089012207173235,39
S4a_ambiguity,F,rev-dilute,6,0.10933740160956645,39
S4a_ambiguity,F,rev-dilute,7,0.040544560271832786,39
S4a_ambiguity,F,rev-dilute,8,0.02243662007355878,38
S4a_ambiguity,F,rev-dilute,9,0.007061035788507441,38
S4a_ambiguity,F,rev-dilute,10,0.01159474854515826,37
S4a_ambiguity,F,rev-pitzer,1,0.33280635848015677,40
S4a_ambiguity,F,rev-pitzer,2,0.4991907335908845,40
S4a_ambiguity,F,rev-pitzer,3,0.1469116729728039,40
S4a_ambiguity,F,rev-pitzer,4,0.3119012492491202,40
S4a_ambiguity,F,rev-pitzer,5,0.5910987792826765,39
S4a_ambiguity,F,rev-pitzer,6,0.8906625983904335,39
S4a_ambiguity,F,rev-pitzer,7,0.9594554397281673,39
S4a_ambiguity,F,rev-pitzer,8,0.9775633799264412,38
S4a_ambiguity,F,rev-pitzer,9,0.9929389642114925,38
S4a_ambiguity,F,rev-pitzer,10,0.9884052514548417,37
