scenario,strategy,model,round,median_probability,n_seeds
S4c_out_of_domain,F,irreversible,1,0.500397600017052,40
S4c_out_of_domain,F,irreversible,2,0.4142842055854583,38
S4c_out_of_domain,F,irreversible,3,0.0,38
S4c_out_of_domain,F,irreversible,4,0.0,38
S4c_out_of_domain,F,irreversible,5,0.0,38
S4c_out_of_domain,F,irreversible,6,0.0,38
S4c_out_of_domain,F,irreversible,7,0.0,38
S4c_out_of_domain,F,irreversible,8,0.0,38
S4c_out_of_domain,F,rev-pitzer,1,0.49960239998294786,40
S4c_out_of_domain,F,rev-pitzer,2,0.5857157944145417,38
S4c_out_of_domain,F,rev-pitzer,3,1.0,38
S4c_out_of_domain,F,rev-pitzer,4,1.0,38
S4c_out_of_domain,F,rev-pitzer,5,1.0,38
S4c_out_of_domain,F,rev-pitzer,6,1.0,38
S4c_out_of_domain,F,rev-pitzer,7,1.0,38
S4c_out_of_domain,F,rev-pitzer,8,1.0,38
