ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.85457,0.723161,0.131409,0.0803801,0.000353945,0.000280853,0.00244519,0.745405,-0.105704
0.00586224,0.726924,0.72489,0.00203404,0.0805862,0.000354785,0.000281321,0.00245258,0.746679,-0.105465
0.0117245,0.790057,0.726623,0.0634342,0.0807934,0.00035563,0.000281792,0.00246002,0.747958,-0.105225
0.0175867,1.151,0.728362,0.422643,0.0810017,0.00035648,0.000282264,0.0024675,0.74924,-0.104986
0.0234489,1.01858,0.730105,0.288475,0.0812112,0.000357333,0.000282738,0.00247503,0.750527,-0.104748
0.0293112,0.980505,0.731854,0.248651,0.0814218,0.000358192,0.000283213,0.0024826,0.751817,-0.104509
0.0351734,0.832616,0.733608,0.0990081,0.0816336,0.000359054,0.00028369,0.00249022,0.753112,-0.104271
0.0410357,0.796922,0.735367,0.0615551,0.0818466,0.000359921,0.000284168,0.00249789,0.75441,-0.104032
0.0468979,0.716957,0.737131,-0.0201737,0.0820608,0.000360793,0.000284648,0.00250561,0.755713,-0.103794
0.0527601,0.755583,0.7389,0.016683,0.0822761,0.00036167,0.00028513,0.00251337,0.75702,-0.103557
0.0586224,0.960541,0.740675,0.219866,0.0824927,0.000362551,0.000285613,0.00252118,0.758331,-0.103319
0.0644846,0.832892,0.742454,0.0904378,0.0827104,0.000363436,0.000286098,0.00252904,0.759647,-0.103081
0.0703468,0.815464,0.744239,0.0712245,0.0829294,0.000364327,0.000286585,0.00253694,0.760966,-0.102844
0.0762091,0.843751,0.74603,0.0977218,0.0831497,0.000365222,0.000287073,0.0025449,0.76229,-0.102607
0.0820713,0.786143,0.747825,0.0383177,0.0833711,0.000366122,0.000287563,0.00255291,0.763618,-0.102371
0.0879336,0.734844,0.749626,-0.0147823,0.0835939,0.000367026,0.000288054,0.00256096,0.76495,-0.102134
0.0937958,0.768474,0.751433,0.017041,0.0838179,0.000367936,0.000288547,0.00256907,0.766287,-0.101898
0.099658,0.905901,0.753245,0.152656,0.0840432,0.000368851,0.000289042,0.00257723,0.767628,-0.101661
0.10552,0.866971,0.755062,0.111909,0.0842697,0.00036977,0.000289539,0.00258544,0.768973,-0.101425
0.111383,0.999261,0.756885,0.242376,0.0844976,0.000370695,0.000290037,0.0025937,0.770323,-0.10119
0.117245,0.810341,0.758714,0.0516277,0.0847268,0.000371624,0.000290537,0.00260202,0.771677,-0.100954
0.123107,0.762442,0.760548,0.00189449,0.0849573,0.000372559,0.000291039,0.00261039,0.773035,-0.100719
0.128969,0.718365,0.762387,-0.0440222,0.0851892,0.000373499,0.000291543,0.00261881,0.774398,-0.100483
0.134831,0.663653,0.764232,-0.100579,0.0854224,0.000374444,0.000292048,0.00262729,0.775765,-0.100249
