T_C,Q_total_mL_min,C_cat_M,tau_s,X_outlet,max_phi1,max_phi2,dC_dlnK1,dC_dlnK2
40.0,0.5,0.5,904.7786842338603,0.1487028470704349,0.0004618875169366135,0.0004268290234131468,1.0745136087425555e-05,5.758782820053376e-07
40.0,0.5,1.0,904.7786842338603,0.2712542357177373,0.0018093556020644557,0.0016654852984256687,7.204748247474635e-05,7.820161545268878e-06
40.0,2.0,0.5,226.19467105846508,0.03947694897573306,2.88563189886433e-05,2.6745247799769452e-05,1.86974321546296e-07,2.4493693184801657e-09
40.0,2.0,1.0,226.19467105846508,0.0761810064098053,0.00011291221927492782,0.00010455245189654697,1.3903306635143498e-06,3.6130573186077264e-08
40.0,8.0,0.5,56.54866776461627,0.010020349931542771,1.8034739447214733e-06,1.6727575690406955e-06,3.0015121638138353e-09,9.775956086310877e-12
40.0,8.0,1.0,56.54866776461627,0.019621153707462535,7.056324721733301e-06,6.543340912572525e-06,2.2907664792848337e-08,1.4702876069416781e-10
100.0,0.5,0.5,904.7786842338603,0.9806949307979358,0.27268130520533035,0.302590658023488,0.005234554236671629,0.019541786965273644
100.0,0.5,1.0,904.7786842338603,0.9967682960206585,0.832796373160223,0.8524186843536247,0.00529025647010295,0.037710031740242345
100.0,2.0,0.5,226.19467105846508,0.6618729227315558,0.01576495641992204,0.016878147714165095,0.0011055296946294035,0.000599611271415168
100.0,2.0,1.0,226.19467105846508,0.8780132238156905,0.06360375659963184,0.06945420643169847,0.0035250729233593514,0.004526882140051258
100.0,8.0,0.5,56.54866776461627,0.23913772157898572,0.0009787829346773749,0.0010322311960045054,3.5132787121472386e-05,4.159556978439172e-06
100.0,8.0,1.0,56.54866776461627,0.41685976477919273,0.0038725540183754846,0.004103484091916265,0.00021746094677116412,5.322763604542757e-05
160.0,0.5,0.5,904.7786842338603,0.9984557127965513,1.000000000406556,1.0000000003018044,0.0038618760917707995,0.034879078786344
160.0,0.5,1.0,904.7786842338603,0.9984251762978273,1.000000000341436,1.0000000002525313,0.003894756812831135,0.035180236213858684
160.0,2.0,0.5,226.19467105846508,0.9983984811789932,0.9774400913977718,0.9840557012423068,0.004031892241687096,0.03444681668129057
160.0,2.0,1.0,226.19467105846508,0.9984251433101436,0.9999870640265335,0.9999905122406965,0.004041277345044891,0.03517969803498833
160.0,8.0,0.5,56.54866776461627,0.9493980411934915,0.10314353389361283,0.13940852871273354,0.0038230134078853784,0.009690823538687221
160.0,8.0,1.0,56.54866776461627,0.994612689835158,0.4541359412550378,0.5752395252650339,0.0040917115726180064,0.02639664295254307
