strategy,nmr_acquisitions,param_err_pct,blind_rmse_M,spatial_samples,time_s
F-zadaptive,10.725,74.44332966393222,0.09548952079166326,10.0,2552.84052635079
F-zadaptive,22.333333333333332,46.51220024345317,0.01360414805121553,20.0,7992.524889610797
F-zadaptive,33.5,16.44536471520472,0.0014715138533953878,30.0,14716.552086581167
F-zadaptive,45.1,13.278708450622045,0.0010092154246722808,40.0,20152.372538012252
F-zadaptive,57.833333333333336,12.916342030094334,0.0009757135788341446,50.0,26947.90951778885
F-zadaptive,69.33333333333333,17.05998155546984,0.0008339479226093955,60.0,32895.72091041145
F-zbatch,10.725,74.44332966393222,0.09548952079166326,10.0,2552.84052635079
F-zbatch,23.625,51.24548407789147,0.013951248588631195,20.0,7306.497333103182
F-zbatch,36.025,17.599218117720348,0.0015421495550073205,30.0,12979.823385804766
F-zbatch,48.075,13.99238663705979,0.0011133473791226116,40.0,17878.884285541873
F-zbatch,60.56410256410256,14.72829252650799,0.001031655333769294,50.0,23780.86387422947
F-zbatch,73.07894736842105,15.252020450833522,0.0009948489402083849,60.0,28735.775856427437
F-zbatch,85.35135135135135,15.38669623495262,0.0009638783050203138,70.0,34345.0543806963
F-zbatch,98.02702702702703,14.487248356579226,0.0009516509984683874,80.0,39540.76707456859
F-zfixed,10.75,75.52688604994098,0.09393123625021876,10.0,2696.6680263507906
F-zfixed,23.28205128205128,40.60008438409745,0.014449936311167123,20.0,7176.732338097067
F-zfixed,35.743589743589745,17.976425504718428,0.001688705313555094,30.0,12834.914544644804
F-zfixed,48.64102564102564,17.386520533657126,0.0012560096687955137,40.0,18391.30187939767
F-zfixed,61.578947368421055,15.978321270457435,0.0011793657020385093,50.0,24276.68760368789
F-zfixed,74.05405405405405,15.209138115650038,0.0011600547988069008,60.0,28882.80459621752
F-zfixed,87.1891891891892,15.397441227447183,0.0011741654326663487,70.0,34408.616421486
F-zfixed,100.1891891891892,15.812088750123621,0.0011412699162772345,80.0,39536.633484567305
