bed_void_fraction,cost_penalty_nats,diameter_m,egda_mol,energy_kJ,feasible,info_nats,length_m,packed,radial_ratio,score,selected,time_s
1.0,nan,0.004,nan,nan,0.0,nan,0.06,0,88.41941282883074,-inf,0,nan
1.0,nan,0.006,nan,nan,0.0,nan,0.06,0,88.41941282883074,-inf,0,nan
1.0,nan,0.008,nan,nan,0.0,nan,0.06,0,88.41941282883074,-inf,0,nan
1.0,nan,0.004,nan,nan,0.0,nan,0.1,0,53.05164769729844,-inf,0,nan
1.0,nan,0.006,nan,nan,0.0,nan,0.1,0,53.05164769729844,-inf,0,nan
1.0,nan,0.008,nan,nan,0.0,nan,0.1,0,53.05164769729844,-inf,0,nan
1.0,nan,0.004,nan,nan,0.0,nan,0.2,0,26.52582384864922,-inf,0,nan
1.0,nan,0.006,nan,nan,0.0,nan,0.2,0,26.52582384864922,-inf,0,nan
1.0,nan,0.008,nan,nan,0.0,nan,0.2,0,26.52582384864922,-inf,0,nan
1.0,nan,0.004,nan,nan,0.0,nan,0.4,0,13.26291192432461,-inf,0,nan
1.0,nan,0.006,nan,nan,0.0,nan,0.4,0,13.26291192432461,-inf,0,nan
1.0,nan,0.008,nan,nan,0.0,nan,0.4,0,13.26291192432461,-inf,0,nan
1.0,71.0989913449461,0.004,0.2042278684233861,190.61261635860583,1.0,32.83674783005061,0.6,0,8.841941282883075,-38.26224351489549,1,24507.34421080632
1.0,108.57379347255731,0.006,0.3173252039526186,261.52464573543483,1.0,33.52302260569962,0.6,0,8.841941282883075,-75.05077086685769,0,38079.02447431423
1.0,161.038516451213,0.008,0.4756614736935443,360.80148686299543,1.0,33.60132564125909,0.6,0,8.841941282883075,-127.43719080995393,0,57079.37684322529
