a,b,bootci_hi,bootci_lo,median_diff,metric,n_pairs,p_a_better,scenario
F,D,6.313169934097241e-05,-0.0001211327171573989,-3.900891021916991e-05,blind_rmse_M,40,0.6,S1_ideal
F,D,0.3395569662767661,-0.7469962196704483,-0.21775632490793617,param_err_pct,40,0.55,S1_ideal
F,D,-0.0016093214945320908,-0.0029811143299489067,-0.0023284783587188117,blind_rmse_M,40,1.0,S2_nmr
F,D,-1.480772180522527,-7.077202187544397,-3.4693483603901782,param_err_pct,40,0.75,S2_nmr
F,D,-0.0022660905234887984,-0.003255025282764245,-0.0028215736742626465,blind_rmse_M,40,0.975,S3_transport
F,D,-0.47568480149963044,-13.374372594906035,-4.8358984194976085,param_err_pct,40,0.675,S3_transport
F,F-uncorr,0.00016127228300323343,6.467529463844769e-05,0.00011412473847019283,blind_rmse_M,40,0.275,S3_transport
F,F-uncorr,0.39783457299064073,-0.7220180463319578,0.10011058760524039,param_err_pct,40,0.475,S3_transport
F-res-1x,F,0.0005420250724452211,5.4174542895754434e-05,0.0003351330287039731,blind_rmse_M,40,0.3,S6_resources
F-res-1x,F,2.4194796986748206,-1.0513493716545863,0.8950962074014353,param_err_pct,40,0.4,S6_resources
