scenario           strategy      n_seeds  n_faulted  median_rounds  param_err_pct_median  param_err_pct_iqr_lo  param_err_pct_iqr_hi  param_err_pct_mean  param_err_pct_bootci_lo  param_err_pct_bootci_hi  blind_rmse_M_median  blind_rmse_M_iqr_lo  blind_rmse_M_iqr_hi  blind_rmse_M_mean  blind_rmse_M_bootci_lo  blind_rmse_M_bootci_hi
S1_ideal           A             40       0          8              46.92                 41.94                 53.82                 47.2                44.72                    50.34                    0.004034             0.003237             0.005625             0.004789           0.00366                 0.004832              
S1_ideal           B             40       0          8              30.51                 15.95                 41.05                 28.34               18.96                    39.85                    0.00138              0.0009578            0.002657             0.001732           0.001132                0.002017              
S1_ideal           C             40       0          8              4.848                 3.576                 7.008                 5.522               4.437                    6.264                    0.001415             0.001001             0.001632             0.001443           0.001139                0.001536              
S1_ideal           D             40       0          8              1.809                 1.285                 2.666                 1.894               1.356                    2.197                    0.0004486            0.0003467            0.0005996            0.0004736          0.0003709               0.0005383             
S1_ideal           E             40       0          8              1.233                 0.8513                2.062                 1.598               1.012                    1.796                    0.0004082            0.0003464            0.0004944            0.0004482          0.0003621               0.0004444             
S1_ideal           F             40       0          8              1.572                 1.022                 2.2                   1.688               1.114                    1.947                    0.0004072            0.0003123            0.0005459            0.0004451          0.0003365               0.0004815             
S2_nmr             B             40       0          8              50.17                 33.45                 56.86                 45.37               46.89                    53.44                    0.00908              0.006577             0.01106              0.008814           0.008144                0.00993               
S2_nmr             D             40       0          8              14.68                 7.668                 25.73                 18.38               10.22                    21.14                    0.003389             0.002143             0.004337             0.003303           0.002404                0.003902              
S2_nmr             F             40       3          8              9.173                 5.88                  19.73                 14.15               7.259                    14.3                     0.0008203            0.0006823            0.001201             0.000967           0.0007599               0.00111               
S3_transport       D             40       0          8              16.36                 6.593                 26.82                 18.11               8.543                    20.47                    0.003944             0.002712             0.00491              0.003785           0.003134                0.004679              
S3_transport       F             40       2          8              6.698                 3.385                 11.74                 10.22               5.351                    11.22                    0.001002             0.0007299            0.001306             0.001126           0.0008125               0.001219              
S3_transport       F-uncorr      40       2          8              9.159                 3.81                  13.65                 10.07               4.499                    11.67                    0.0009407            0.0007086            0.001207             0.001023           0.0007626               0.001115              
S3ab_delay         D             40       0          8              13.87                 6.719                 34.08                 18.63               8.847                    19.23                    0.002825             0.001847             0.004158             0.003019           0.002049                0.003696              
S3ab_delay         F             40       2          8              9.169                 5.357                 16.11                 13.85               7.764                    13.91                    0.0008439            0.0007346            0.001171             0.0009688          0.0007808               0.0009792             
S3ab_rtd           D             40       0          8              17.18                 6.973                 28.92                 18.63               9.276                    21.79                    0.003175             0.001946             0.004317             0.003104           0.002078                0.003693              
S3ab_rtd           F             40       2          8              9.174                 4.943                 16.11                 13.64               7.672                    13.66                    0.0008367            0.0007328            0.001146             0.0009631          0.0007837               0.000957              
S4a_ambiguity      D             40       0          10             13.5                  7.776                 24.26                 18.04               10.63                    18.61                    0.003158             0.001936             0.00437              0.003226           0.002372                0.003902              
S4a_ambiguity      F             40       3          10             10.52                 5.541                 19.85                 14.68               8.647                    16.07                    0.0007918            0.000606             0.00117              0.0009538          0.0006815               0.0009485             
S4b_identifiable   D             40       0          8              14.68                 7.668                 25.73                 18.38               10.22                    21.14                    0.003389             0.002143             0.004337             0.003303           0.002404                0.003902              
S4b_identifiable   F             40       5          8              10.1                  5.006                 27.54                 17.15               7.316                    16.38                    0.0008068            0.0006622            0.001139             0.006333           0.0006851               0.001022              
S4c_out_of_domain  F             40       2          8              148.6                 146.7                 152.4                 146                 147.7                    151.4                    0.03596              0.03564              0.03657              0.04379            0.0357                  0.03638               
S5_inadequacy      D             40       0          8              151                   148.4                 152.8                 150.9               149.3                    152.4                    0.04035              0.03924              0.04088              0.04007            0.03944                 0.04075               
S5_inadequacy      F             40       4          8              94.71                 82.07                 122.5                 101.2               87.96                    105.5                    0.02767              0.02648              0.03459              0.04158            0.02694                 0.03116               
S5_inadequacy      F-noGovernor  40       4          8              79.77                 74.86                 110.1                 91.81               76.14                    96.3                     0.02802              0.0265               0.03107              0.04095            0.02717                 0.02896               
S6_resources       D             40       0          8              14.68                 7.668                 25.73                 18.38               10.22                    21.14                    0.003389             0.002143             0.004337             0.003303           0.002404                0.003902              
S6_resources       F             40       3          8              9.173                 5.88                  19.73                 14.15               7.259                    14.3                     0.0008203            0.0006823            0.001201             0.000967           0.0007599               0.00111               
S6_resources       F-res-0.5x    40       1          8              15.31                 6.99                  22.34                 16.93               10.06                    20.34                    0.001588             0.001018             0.002107             0.001655           0.001113                0.00186               
S6_resources       F-res-1x      40       2          8              9.698                 6.103                 20.87                 15.29               7.71                     14.34                    0.001407             0.0009766            0.00208              0.001662           0.001056                0.001858              
S6_resources       F-res-2x      40       1          8              30.96                 25.78                 37.51                 30.9                27.53                    35.16                    0.002774             0.002022             0.00414              0.005416           0.002307                0.003977              
S6_resources       F-res-4x      40       0          8              30.92                 25.95                 35.35                 32.27               28.65                    32.69                    0.03183              0.02478              0.04024              0.03219            0.02758                 0.03798               
S7_spatial_modes   F-zadaptive   40       40         2              44.85                 19.04                 74.34                 46.87               22.28                    68.75                    0.01657              0.001221             0.09471              0.04737            0.003444                0.08811               
S7_spatial_modes   F-zbatch      40       3          8              9.173                 5.88                  19.73                 14.15               7.259                    14.3                     0.0008203            0.0006823            0.001201             0.000967           0.0007599               0.00111               
S7_spatial_modes   F-zfixed      40       3          8              10.67                 6.639                 24.98                 16.79               7.817                    16.29                    0.001007             0.0007648            0.001416             0.003223           0.0009105               0.001217              
